canon_symptom,aliases,intent_hint
печія,ізжога|печіння у шлунку|печіння за грудиною|heartburn,indications
головний біль,головний біль|цефалгія|біль голови|мігрень|headache,side_effects
нежить,ринорея|соплі|слиз з носа|течія з носа|runny nose|насморк,indications
кашель,кашель|покашлювання|cough,indications
задишка,утруднене дихання|важко дихати|не вистачає повітря|dyspnea|задуха,indications
біль у горлі,біль при ковтанні|біль в горлі|горло болить|sore throat,indications
температура,жар|лихоманка|гарячка|fever|підвищена температура,indications
нудота,нудить|підташнює|нудота|nausea,side_effects
блювання,блювота|рвота|vomiting,side_effects
діарея,пронос|рідкий стілець|послаблений стілець|diarrhea,side_effects
запор,закреп|затвердіння стільця|constipation,side_effects
біль у животі,біль живота|болить живіт|абдомінальний біль|abdominal pain,indications
біль у спині,біль спини|болить спина|back pain,indications
біль у суглобах,болять суглоби|артралгія|біль в суглобах|joint pain,indications
біль у м'язах,болять м'язи|міалгія|м'язовий біль|muscle pain,side_effects
запаморочення,паморочиться голова|крутиться голова|дизиніс|dizziness|vertigo,side_effects
слабкість,загальна слабість|астенія|втома|weakness|fatigue,side_effects
втома,втомлюваність|астенія|слабкість|fatigue,general
безсоння,не можу заснути|порушення сну|insomnia,side_effects
сонливість,хочеться спати|дрімота|drowsiness|sleepiness,side_effects
свербіж,сверблячка|свербить шкіра|itching|pruritus,side_effects
висип,висипка|шкірна висипка|плями на шкірі|rash,side_effects
кропивниця,кропив'янка|urticaria,side_effects
набряк,набряки|опухлість|отечність|edema|swelling,side_effects
серцебиття,прискорене серцебиття|тахікардія|palpitations,side_effects
біль у грудях,біль в грудях|стиснення в грудях|chest pain,indications
кровотеча,кровоточивість|bleeding,indications
синці,синяки|гематоми|bruising,side_effects
блідість,бліда шкіра|pallor,general
жовтяниця,жовте забарвлення шкіри|icterus|jaundice,indications
пітливість,підвищена пітливість|потіння|sweating|hyperhidrosis,side_effects
озноб,знобить|трясе|chills,indications
втрата апетиту,немає апетиту|анорексія|loss of appetite,side_effects
підвищений апетит,постійний голод|повіфагія|increased appetite,side_effects
втрата ваги,схуднення|weight loss,general
набір ваги,збільшення ваги|поправився|weight gain,side_effects
біль при сечовипусканні,пече при сечовипусканні|болить при сечовипусканні|painful urination,indications
часте сечовипускання,часто бігаю в туалет|поллакіурія|frequent urination,indications
утруднене сечовипускання,важко пісяти|дизурія|difficulty urinating,indications
кров у сечі,кров в сечі|гематурія|blood in urine,indications
кров у калі,кров в калі|кров зі стільцем|blood in stool,indications
здуття живота,роздутий живіт|метеоризм|bloating,indications
відрижка,відригування|burping|belching,indications
сухість у роті,сухо в роті|сухість рота|dry mouth,side_effects
посилене слиновиділення,багато слини|слинотеча|excessive salivation,side_effects
порушення зору,погане зор|розмите зору|vision problems|blurred vision,side_effects
подвійне зор,бачу подвійно|diplopia|double vision,side_effects
шум у вухах,дзвенить в вухах|тінітус|tinnitus,side_effects
зниження слуху,погано чую|втрата слуху|hearing loss,side_effects
біль у вухах,болять вуха|біль вуха|ear pain,indications
біль при менструації,менструальний біль|дисменорея|болючі місячні|period pain,indications
порушення менструального циклу,нерегулярні місячні|порушення циклу|irregular periods,indications
виділення з піхви,виділення|вагінальні виділення|vaginal discharge,indications
біль під час статевого акту,біль при сексі|диспареунія|painful intercourse,indications
еректильна дисфункція,імпотенція|немає ерекції|erectile dysfunction,indications
зниження лібідо,немає бажання|втрата лібідо|low libido,side_effects
