column,total_records,null_count,null_percentage,empty_strings,very_short_content,meaningful_content,meaningful_percentage,avg_text_length,html_contamination_rate,special_chars_density
url,28379,0,0.0,0,0,28379,100.0,37.0,0.0,13.51
Назва препарату,28379,0,0.0,0,29,27914,98.36,37.0,0.0,1.53
Склад,28379,0,0.0,20563,0,7816,27.54,2973.0,1.3,0.53
Умови зберігання,28379,0,0.0,21277,0,7102,25.03,933.3,0.0,1.03
Протипоказання,28379,0,0.0,21422,0,6957,24.51,4318.9,3.4,0.4
Показання,28379,0,0.0,22000,0,6379,22.48,2464.7,2.1,0.37
Особливості застосування,28379,0,0.0,22302,0,6077,21.41,14958.0,2.3,0.21
Передозування,28379,0,0.0,22320,0,6059,21.35,4736.7,5.0,0.44
Фармакологічні властивості,28379,0,0.0,22491,0,5888,20.75,12444.1,6.1,0.54
Термін придатності,28379,0,0.0,24032,0,4343,15.3,298.2,0.0,0.56
Упаковка,28379,0,0.0,24367,0,4012,14.14,396.8,0.0,0.43
Спосіб застосування та дози,28379,0,0.0,24448,0,3931,13.85,8147.8,4.6,0.69
Фармакотерапевтична група,28379,0,0.0,24530,0,3849,13.56,4518.2,5.5,0.48
Лікарська форма,28379,0,0.0,24548,0,3831,13.5,739.6,0.0,0.31
Виробник,28379,0,0.0,24576,0,3803,13.4,404.8,0.0,0.66
Побічні реакції,28379,0,0.0,24586,0,3793,13.37,11679.7,10.6,0.74
Взаємодія з іншими лікарськими засобами та інші види взаємодій,28379,0,0.0,24610,0,3769,13.28,12313.7,2.5,0.21
Застосування у період вагітності або годування груддю,28379,0,0.0,24775,0,3604,12.7,3067.0,0.0,0.17
Здатність впливати на швидкість реакції при керуванні автотранспортом або іншими механізмами,28379,0,0.0,24864,0,3515,12.39,3311.5,4.2,0.51
