index,product_name,is_dietary_supplement,is_cosmetic,is_medical_device,is_prescription_drug,is_medicine
0,А-Дістон (A-Diston),True,False,False,False,False
1,А-Церумен Нео Плюс ® (A-Cerumen Neo Plus ® ),False,False,False,False,True
2,Аб'юфен (Abufene),False,False,False,False,True
3,АБ'ЮФЕН ДЕЛІКАТ (ABUFENE DELICATE),False,False,False,False,True
4,Абертін (Abertin),False,False,False,False,True
5,Абиклав ® (Abiklav),False,True,False,False,False
6,Абипим ® (Abypim),False,False,False,False,True
7,Абифлокс ® розчин для інфузій (Abiflox ® solution for infusion ),False,True,False,False,False
8,Абифлокс ® таблетки (Abiflox ® tablets ),False,True,False,False,False
9,Абізол (Abizol),False,False,False,False,True
10,Абізол ізітаб (Abizol easytab),False,False,False,False,True
11,Абікса (Abixa),False,False,False,False,True
12,Абіратерон-Віста (Abirateron-Vista),False,True,False,False,False
13,Абіратерону ацетат,False,True,False,False,False
14,Абіртрон,False,True,False,False,False
15,Абітазим (Abitazim),False,True,False,False,False
16,Аброл ® SR капсули з пролонгованою дією (Abrol ® SR capsules with prolonged action ),False,False,False,False,True
17,Аброл ® SR таблетки з пролонгованою дією (Abrol ® SR tablets with prolonged action ),False,False,False,False,True
18,Аброл ® розчин для інгаляцій та перорального застосування (Abrol ® solution for inhalation and oral administration),False,False,False,False,True
19,Аброл ® сироп (Abrol ® syrup),False,False,False,False,True
20,Аброл ® таблетки (Abrol ® tablets),False,False,False,False,True
21,Аваміс™ (Avamys™),False,False,False,False,True
22,Аваналав ® (Avanalav ® ),False,False,False,False,True
23,Авастин ® (Avastin ® ),False,False,False,False,True
24,Авелокс ® (Avelox ® ),False,True,False,False,False
25,Авеню ® (Avenue),False,False,False,False,True
26,Аверо,False,False,False,False,True
27,Авертид (Avertid),False,False,False,False,True
28,Авецин-Н,False,True,False,False,False
29,Аводарт (Avodart),False,False,False,False,True
30,Аводель (Avodel),False,False,False,False,True
31,Агвантар (Agvantar),False,False,False,False,True
32,Агепта ® (Agepta),False,False,False,False,True
33,Агерп (Aherp),False,False,False,False,True
34,Агіал (Agial),False,False,False,False,True
35,Агідол (Agidol),False,False,False,False,True
36,Агнесті (Agnesti),False,False,False,False,True
37,Агрелід (Agrelid),False,False,False,False,True
38,Агріппа,False,False,False,False,True
39,Агропірон глобулі Велаті (Agropiron globules Velate),False,False,False,False,True
40,АД-М (AD-M),False,False,False,False,True
41,Адажио ® (Adagio),False,False,False,False,True
42,Адаптол ® (Adaptol),False,False,False,False,True
43,Адаптол ® капсули (Adaptol capsules ),False,True,False,False,False
44,Адваграф (Advagraf),False,False,False,False,True
45,Адвантан ® (Advantan ® ),False,True,False,False,False
46,Адвокард ® (Advocard),False,False,False,False,True
47,Адель ® С,False,True,False,False,False
48,Адель ® Д,False,True,False,False,False
49,Адеметіонін,False,False,False,False,True
50,Адемта (Ademta),False,False,False,False,True
51,Аденіз-АМ (Adeniz-AM),False,False,False,False,True
52,Аденіз-Н (Adeniz-Н),False,False,False,False,True
53,Аденіз-Тріо (Adeniz-Trio),False,False,False,False,True
54,Аденома-Гран (Adenoma-Gran),False,False,False,False,True
55,Аденорм (Adenorm),False,False,False,False,True
56,Аденостерид-Здоров'я (Adenosterid-Zdorovye),False,False,False,False,True
57,Аденофіт ® -форте (Adenofit ® -forte),False,False,False,False,True
58,Аденурік ® (Adenuric ® ),False,False,False,False,True
59,Аджові™ (Ajovy ® ),False,False,False,False,True
60,Адмента 10 (Admenta 10),False,False,False,False,True
61,Адолікс (Adolix),False,False,False,False,True
62,АДП-Біолік (ADT-Biolek),False,False,False,False,True
63,Адп-М-Біолік (Adt-M-Biolek),False,False,False,False,True
64,Адреналін-Дарниця (Adrenalin-Darnitsa),False,False,False,False,True
65,Адреналін-Здоров'Я (Adrenalin-Zdorovye),False,False,False,False,True
66,Адрибластин швидкорозчинний (Adriblastina rapid dissolution),False,False,False,False,True
67,Адріус (Adrius),False,False,False,False,True
68,Адцетрис ® (Adcetris ® ),False,False,False,False,True
69,Аевіт ® (Aevit),False,False,False,False,True
70,АЕвіт ® Бьюті (AEvit ® Beauty),False,False,False,False,True
71,АЕвіт ® Преміум (AEVIT PREMIUM),False,False,False,False,True
72,Аекол (Aecolum),False,False,False,False,True
73,Аерофілін ® (Aerofyllin ® ),False,False,False,False,True
74,Аертал крем (Airtal ® cream ),False,True,False,False,False
75,Аертал ® порошок для оральної суспензії (Airtal ® powder for oral suspension ),False,False,False,False,True
76,Аертал ® таблетки (Airtal ® tablets ),False,False,False,False,True
77,Азагілін ® (Azahilin),False,False,False,False,True
78,Азагілін ® Асіно (Azahilin Acino),False,False,False,False,True
79,Азакс ® (Azax),True,False,False,False,False
80,Азакт спал (Azact spal),False,True,False,False,False
81,Азалептол (Asaleptolum),False,True,False,False,False
82,Азапін (Azapin),False,False,False,False,True
83,Азарга ® (Azarga),False,True,False,False,False
84,Азацитидин (Azacitidine),False,True,False,False,False
85,Азвестів (Azvestiv),False,False,False,False,True
86,Азельта (Azelta),False,False,False,False,True
87,Азеонам (Azeonam),False,False,False,False,True
88,Азептил (Azeptil),False,False,False,False,True
89,Азибіот ® (Azibiot ® ),False,True,False,False,False
90,Азиклар (Aziclar),True,False,False,False,False
91,АЗИМАКС,False,True,False,False,False
92,Азимед ® капсули (Azimed ® capsules ),False,False,False,False,True
93,Азимед ® порошок для оральної суспензії (Azimed ® powder for oral suspension ),False,False,False,False,True
94,Азимед ® таблетки (Azimed ® tablets ),False,False,False,False,True
95,Азиоптик Ромфарм (Azioptic Romfarm),False,True,False,False,False
96,Азипол (Azipol),True,False,False,False,False
97,Азитер ® (Azyter ® ),False,False,False,False,True
98,АЗИТРАЛ 250 (AZITHRAL 250),False,False,False,False,True
99,АЗИТРАЛ 500 (AZITHRAL 500),False,False,False,False,True
100,Азитро Сандоз ® (порошок для оральної суспензії) (Azithro Sandoz ® (powder for oral suspension)),False,False,False,False,True
101,Азитро Сандоз ® (таблетки) (Azithro Sandoz ® (tablets)),False,False,False,False,True
102,Азитромакс (Azithromax),True,False,False,False,False
103,Азитроміцин (Azithromycin),False,False,False,False,True
104,Азитроміцин Євро (Azithromycin Euro),True,False,False,False,False
105,Азитроміцин-Астрафарм (Azithromycinum-Astrapharm),False,False,False,False,True
106,Азитроміцин-Віста (Azithromycin),True,False,False,False,False
107,Азитроміцин-Дарниця (Azithromycin-Darnytsia),True,False,False,False,False
108,Азицин ® (Azicin),False,False,False,False,True
109,Азі-Атор (Azi-Ator),False,False,False,False,True
110,Азілект (Azilect ® ),False,False,False,False,True
111,Азо (Azo),False,True,False,False,False
112,Азомекс (Asomex),False,False,False,False,True
113,Азопт ® (Azopt),False,False,False,False,True
114,Азтек (Aztek),True,False,False,False,False
115,Аіртек (Airtec),False,True,False,False,False
116,Айглімет (Aiglimet),False,True,False,False,False
117,Айгліп (Eyeglip),False,True,False,False,False
118,Айдрінк ® (Idrink),False,False,False,False,True
119,Айлар ® (Ilar ® ),False,False,False,False,True
120,Айлія ® (Eylea),False,True,False,False,False
121,Акард (Acard),False,False,False,False,True
122,Аква + алое вера (Aqua + aloe vera),False,False,False,False,True
123,АКВА МАРІС ® ПЛЮС (AQUA MARIS PLUS),False,False,False,False,True
124,АКВА МАРІС ® СПРЕЙ НАЗАЛЬНИЙ (AQUA MARIS ® NASAL SPRAY),False,False,False,False,True
125,АКВА МАРІС ® СТРОНГ (AQUA MARIS STRONG),False,False,False,False,True
126,Аква ринолор (Aqua rhinolor),False,False,False,False,True
127,Аква спрей (Aqua spray),False,False,False,False,True
128,Аква спрей оксі (Aqua Spray Hydroxy),False,False,False,False,True
129,Аква спрей плюс (Aqua spray plus),False,False,False,False,True
130,Аква спрей плюс д-пантенол (Aqua spray plus d-panthenol),False,False,False,False,True
131,Аквабріз (Aquabriz),False,False,False,False,True
132,Аквавіт-Д3 (Aquavit-D3),False,False,False,False,True
133,Аквадетрим ® вітамін D3 (Aquadetrim vitaminum D3),False,False,False,False,True
134,Аквамакс (Aquamax),False,False,False,False,True
135,АКВАНЕКС (AQUANEX),False,False,False,False,True
136,Аквасінус (Aquasinus),False,False,False,False,True
137,Акваферрол (Aqaferrol),False,False,False,False,True
138,АКДП-Біолік (APDT-Biolek),False,False,False,False,True
139,Акімба,False,False,False,False,True
140,Акінетон (Akineton),False,False,False,False,True
141,Акінетон таблетки (Akineton tablets),False,False,False,False,True
142,Акістан (Akistan),False,False,False,False,True
143,Акістан Дуо (Akistan Duo),False,False,False,False,True
144,Акк ® (Akk),False,False,False,False,True
145,Аккордин (Accordin),False,True,False,False,False
146,Аккофіл (Accofil),False,False,False,False,True
147,Акласта (Aclasta),False,True,False,False,False
148,Акліф,False,True,False,False,False
149,Акневак (Acnevac),False,False,False,False,True
150,Акнестоп ® (Acnestop),False,True,False,False,False
151,Акнетін ® (Acnetin),False,False,False,False,True
152,Акнетрекс (Acnetrex),False,False,False,False,True
153,Аксапара (Axapara),False,False,False,False,True
154,Аксастрол ® (Axastrol),False,False,False,False,True
155,Аксетин порошок для розчину для ін’єкцій (Axetine powder for solution for injection ),False,False,False,False,True
156,Аксетин таблетки (Axetine tablets ),False,False,False,False,True
157,Аксеф ® (Aksef),False,True,False,False,False
158,Аксональ (Axonal),False,False,False,False,True
159,Аксональ Лімаг (Axonal Limag),False,False,False,False,True
160,Аксональ Моно (Axonal Mono),False,False,False,False,True
161,Аксотилін розчин для ін’єкцій (Axotilin solution for injection),False,False,False,False,True
162,Аксотилін розчин оральний (Axotilin oral solution),False,False,False,False,True
163,Аксотилін таблетки (Axotilin tablets),False,False,False,False,True
164,Аксотроф™ (Axotroph),False,False,False,False,True
165,Актемра ® (Actemra ® ),False,True,False,False,False
166,Актив Флора бебі+ (Active Flora baby+),False,False,False,False,True
167,Актив Флора Дуо Плюс (Aktiv Flora Duo Plus),False,False,False,False,True
168,Активал 50+ (Actival 50+),False,False,False,False,True
169,Активал кід (Actival kid),False,False,False,False,True
170,Активал кід екстра (Actival kid extra),False,False,False,False,True
171,АКТИВАЛ ® МАКС (ACTIVAL ® MAX),False,False,False,False,True
172,Активіт імуно (Activit immuno),False,False,False,False,True
173,Актилізе ® (Actilyse ® ),False,False,False,False,True
174,Актіпрол (Aktiprol),False,False,False,False,True
175,Актовегін розчин для ін'єкцій (Actovegin ® solution for injections ),False,False,False,False,True
176,Актовегін таблетки (Actovegin ® tablets ),False,False,False,False,True
177,Актрапід HM флекспен (Actrapid HM flexpen),False,False,False,False,True
178,Актрапід НМ (Actrapid NM),False,False,False,False,True
179,АКУЛЯЧИЙ ХРЯЩ (ADVANCED SHARK CARTILAGE),False,False,False,False,True
180,Аладин ® (Aladin ® ),False,False,False,False,True
