ngram,freq
застосування,36065
не,27281
чутливість,21709
підвищена,18398
може,17372
боку,17099
препарату,17007
підвищена чутливість,15960
слід,15796
які,14030
крові,13667
порушення,13046
компонентів,12797
див,12574
застосуванні,12071
пацієнтів,12012
інших,11676
засобами,11196
системи,11071
мг,11057
реакції,11006
інші,10647
іншими,10646
лікування,10397
рідко,9533
лікарськими,9532
після,9472
лікарськими засобами,9398
за,9238
одночасне,9096
недостатність,8988
засобу,8887
період,8790
лікарського,8374
лікарського засобу,8348
одночасне застосування,8219
ризик,8040
підвищення,8036
застосовувати,7955
взаємодія,7720
іншими лікарськими,7454
іншими лікарськими засобами,7403
анамнезі,7396
пацієнтам,7141
функції,7072
часто,7028
особливості,6985
дріжджі,6948
пивні,6944
дріжджі пивні,6944
особливості застосування,6938
засобів,6857
можуть,6822
речовин,6809
розділ,6780
див розділ,6748
нечасто,6601
засоби,6557
взаємодія іншими,6501
захворювання,6487
взаємодій,6440
взаємодія іншими лікарськими,6438
нирок,6384
біль,6166
індивідуальна,6124
печінки,6099
дози,6026
вагітність,6008
10,5944
речовини,5907
будь-якого,5894
одночасному,5886
шкіри,5877
види,5770
інші види,5696
види взаємодій,5635
час,5611
інші види взаємодій,5609
засобами інші,5599
зниження,5584
засобами інші види,5573
лікарськими засобами інші,5557
вагітності,5494
включаючи,5481
препаратів,5456
індивідуальна чутливість,5340
років,5174
плазмі,5140
гіперчутливість,5117
одночасному застосуванні,5013
годування,4967
добу,4918
компонентів препарату,4853
тяжка,4711
взаємодії,4695
пов,4632
побічні,4591
розвитку,4585
плазмі крові,4576
рівня,4515
якщо,4493
набряк,4478
протягом,4455
застосуванням,4443
допоміжних,4436
окремих,4419
білки,4412
лікарських,4400
вуглеводи,4388
жири,4379
будь-якої,4316
рекомендується,4281
допоміжних речовин,4276
необхідно,4241
кровотечі,4199
оскільки,4196
препарати,4192
олія,4159
ефірна,4117
ефірна олія,4116
81,4108
реакцій,4105
вуглеводи 81,4020
вуглеводи 81 жири,4020
81 жири,4020
виникнення,4000
cyp3a4,3993
лікарських засобів,3953
побічні реакції,3907
81 жири дріжджі,3906
жири дріжджі пивні,3906
жири дріжджі,3906
частота,3899
груддю,3881
розлади,3879
100,3871
концентрації,3853
його,3845
бути,3843
препарат,3804
разі,3804
одночасно,3781
синдром,3750
годування груддю,3750
інгібіторів,3706
інгібітори,3675
збільшення,3657
введення,3654
можна,3616
пацієнтів які,3616
окремих компонентів,3597
не слід,3567
порушення функції,3507
auc,3506
кислоти,3504
перед,3498
період вагітності,3496
тяжкі,3482
чутливість окремих,3465
чутливість окремих компонентів,3452
препаратами,3402
числі,3399
олій,3366
особливо,3348
лікарські,3332
індивідуальна чутливість окремих,3330
інгібіторами,3316
нпзз,3306
ефірних,3294
підвищена чутливість ефірних,3285
чутливість ефірних,3285
чутливість ефірних олій,3282
ефірних олій,3282
ниркова,3261
функції нирок,3231
дослідження,3219
наявність,3193
діючої,3182
кровотеча,3155
побічних,3130
вагітності годування,3114
лікарські засоби,3105
діючої речовини,3086
терапії,3085
ефект,3063
період вагітності годування,3061
компонента,3030
розділ особливості,3017
розділ особливості застосування,3015
див розділ особливості,3008
мл,2989
призвести,2974
інших компонентів,2956
ниркова недостатність,2942
серцева,2933
досліджень,2924
комбінації,2891
будь-якої допоміжних,2886
кропив,2883
дія,2882
будь-якої допоміжних речовин,2874
їх,2868
12,2829
зв,2811
чутливість компонентів,2783
слід застосовувати,2746
вплив,2741
невідома,2726
нпзп,2725
вагітність період,2719
серцева недостатність,2714
зору,2704
містять,2678
функції печінки,2674
дію,2648
може призвести,2631
щодо,2616
ризику,2607
артеріальна,2606
органів,2603
хвороба,2602
печінкова,2591
вік,2527
дії,2521
рівень,2476
яких,2465
ступеня,2444
міокарда,2419
діти,2407
обережністю,2400
лактації,2393
протипоказаний,2390
частота невідома,2389
одночасного,2387
вагітності годування груддю,2362
max,2360
випадки,2354
побічна,2350
внаслідок,2347
блювання,2307
прийому,2306
компонентів лікарського,2299
період лактації,2296
компонентів вагітність,2295
компонентів лікарського засобу,2293
підвищення рівня,2284
прийом,2279
див особливості,2269
див особливості застосування,2262
побічних реакцій,2256
нудота,2253
днів,2252
може бути,2238
сироватці,2235
нервової,2234
мао,2230
запаморочення,2227
нервової системи,2217
побічна дія,2211
30,2205
ангіоневротичний,2203
ангіоневротичний набряк,2201
повідомлялося,2192
хв,2184
апф,2182
гіпотензія,2180
свербіж,2176
можливе,2173
підвищений,2170
клінічних,2168
будь-яких,2164
серця,2157
кліренс,2150
вагітність період лактації,2145
головний,2138
сироватці крові,2132
гіперчутливості,2120
засіб,2120
головний біль,2101
інфекції,2089
іншого,2079
компонентів вагітність період,2075
залози,2070
1000,2065
окремих компонентів вагітність,2049
застосування препарату,2046
креатиніну,2042
шлунка,2031
одночасного застосування,2022
клінічно,2005
пригнічення,2002
компонента препарату,1998
язані,1988
тракту,1982
дозу,1978
анемія,1974
янка,1964
кропив янка,1964
гострий,1958
не можна,1944
