phrase,count
вуглеводи,4356
жири,4356
"1,8 г",4032
"7,81",3968
розділ «особливості застосування»,2536
особливості застосування,1381
підвищена чутливість до будь,1253
рідко,1180
розділ «взаємодія з іншими лікарськими засобами та інші види взаємодій»,1057
нечасто,1045
дуже рідко,904
якого компонента препарату,898
шлунково,831
якої з допоміжних речовин,793
якої з допоміжних речовин препарату,764
перед застосуванням отримати рекомендації ароматерапевта,756
підвищена чутливість до діючої речовини або до будь,736
розділ «застосування у період вагітності або годування груддю»,708
якого іншого компонента препарату,684
підвищена чутливість до компонентів препарату,681
частота невідома,663
якого з компонентів препарату,645
невідомо,544
особливі заходи безпеки,530
якої з допоміжних речовин лікарського засобу,514
з боку серцево,512
розділ «протипоказання»,508
гіперчутливість до діючої речовини або до будь,507
х годин берегтися від ультрафіолетового випромінювання,504
перед застосуванням проконсультуватися з ароматерапевтом,504
взаємодія з іншими лікарськими засобами,467
гіперчутливість до будь,437
тяжка печінкова недостатність,406
"30,55 г",372
"34,39 г",372
тяжка серцева недостатність,367
увага! має фототоксичну дію,336
"не наносити на відкриті ділянки шкіри перед прийманням сонячних ванн, протягом 4",336
період вагітності або годування груддю,311
підвищена чутливість до компонентів лікарського засобу,309
період годування груддю,300
якого компонента лікарського засобу,299
будь,298
якого іншого компонента лікарського засобу,291
коа,290
якого з компонентів лікарського засобу,288
0 г,288
діти,287
часто,282
порфірія,282
підвищена чутливість до активної речовини або до будь,272
епілепсія,269
фосфатдегідрогенази,267
якої допоміжної речовини,261
дитячий вік (до 18 років,253
розділ «спосіб застосування та дози»,250
дитячий вік,249
"39,4 г",248
"23,9 г",248
останній триместр вагітності,226
тяжкі порушення функції печінки,224
закритокутова глаукома,219
дріжджі пивні з бета,217
дитячий вік до 12 років,216
вагітність,215
з боку опорно,211
застосування у період вагітності або годування груддю,209
ниркова недостатність,204
феохромоцитома,202
підвищена чутливість до діючої речовини або будь,202
білки,196
якої допоміжної речовини препарату,194
застосування у період вагітності або годування грудьми,190
кардіогенний шок,189
підвищена чутливість до діючих речовин або до будь,187
дефіцит глюкозо,177
період вагітності та годування груддю,176
яких інших компонентів препарату,172
кишкового тракту,169
"не наносити на шкіру перед прийманням сонячних ванн, протягом 4",168
увага! передозування може викликати подразнення на шкірі,168
розділ «побічні реакції»,167
з боку скелетно,167
індивідуальна чутливість до окремих компонентів,165
яких компонентів препарату,165
харчова (живильна) цінність в 100 г продукту білки,165
гіпокаліємія,165
здатність впливати на швидкість реакції при керуванні автотранспортом або роботі з іншими механізмами,162
циклоспорин,159
з боку кістково,158
не є лікарським засобом,157
підвищена індивідуальна чутливість до будь,156
цукровий діабет,154
бета,152
розділ «склад»,151
артеріальна гіпотензія,147
п’ю,146
розділ «фармакологічні властивості»,144
якої допоміжної речовини лікарського засобу,144
дуже рідко (<1/10 000,142
метотрексат,141
тяжка ниркова недостатність,141
метаболічний ацидоз,140
печінкова недостатність,139
див,137
головний біль,136
гіперчутливість до активної речовини або до будь,135
ііі триместр вагітності (див,132
гіпертиреоз,129
гіперчутливість до діючої речовини або будь,128
"16,4 г",128
розділ «фармакокінетика»,127
яких допоміжних речовин,126
якого іншого типу бета,126
з боку нервової системи : часто,124
судинної системи,124
глаукома,124
"12,2 г",124
"дріжджі пивні для волосся, шкіри та нігтів: білки",124
"19,18 г",124
дріжджі пивні імуностимулюючі: білки,124
дріжджі пивні йод + кальцій: білки,124
"30,5 г",124
дріжджі пивні косметичні: білки,124
"27,5 г",124
дріжджі пивні натуральні: білки,124
"38,9 г",124
дріжджі пивні загальнозміцнюючі: білки,124
"16,49 г",124
каротином: білки,124
"35,05 г",124
дріжджі пивні з вітаміном с: білки,124
"35,39 г",124
дріжджі пивні з залізом: білки,124
"39,1 г",124
дріжджі пивні з женьшенем: білки,124
"34,05 г",124
дріжджі пивні з зародками пшениці: білки,124
дріжджі пивні з йодом: білки,124
дріжджі пивні з калієм: білки,124
"21,39 г",124
дріжджі пивні з кальцієм та залізом: білки,124
"27,71 г",124
дріжджі пивні з кальцієм та магнієм: білки,124
"24,3 г",124
"дріжджі пивні з кальцієм, магнієм та залізом: білки",124
"23,76 г",124
"дріжджі пивні з кальцієм, магнієм та цинком: білки",124
дріжджі пивні з кальцієм: білки,124
"28,1 г",124
дріжджі пивні з ламінарією: білки,124
дріжджі пивні з магнієм: білки,124
"21,49 г",124
дріжджі пивні з мумійо: білки,124
"39,09 г",124
дріжджі пивні з плодами розторопші: білки,124
дріжджі пивні з селеном: білки,124
дріжджі пивні з сіркою: білки,124
"33,1 г",124
дріжджі пивні з цинком: білки,124
"39,3 г",124
дріжджі пивні з чебрецем: білки,124
дріжджі пивні з чорницею: білки,124
дріжджі пивні з ехінацеєю: білки,124
дріжджі пивні з янтарною кислотою: білки,124
"39,24 г",124
дріжджі пивні хондроетин + глюкозамін: білки,124
дріжджі пивні чиста шкіра: білки,124
"15,5 г",124
кишкової кровотечі,123
гіперчутливість до біологічно активних речовин препарату,123
вагітність або планування вагітності (див,122
бронхіальна астма,121
розділи «особливості застосування» та «побічні реакції»,118
алкоголізм,118
яких допоміжних речовин препарату,117
геморагічний діатез,117
гемодинамічно нестабільна серцева недостатність після гострого інфаркту міокарда,115
розділи «протипоказання» та «особливості застосування»,114
яких компонентів лікарського засобу,114
периндоприл,114
блокатори,112
вагінальна кровотеча нез’ясованої етіології,112
індивідуальна чутливість до компонентів,112
кишковому тракті,110
захворювання периферичних артерій,108
анурія,107
дигоксин,106
декомпенсована серцева недостатність,105
"кишкова кровотеча, цереброваскулярна кровотеча в анамнезі або інші порушення згортання крові",105
поодинокі,103
вагітність та період годування груддю,102
"цереброваскулярні захворювання у пацієнтів, які перенесли інсульт або мають епізоди транзиторних ішемічних атак",102
порушення функції печінки,100
розділи «особливості застосування» і «взаємодія з іншими лікарськими засобами та інші види взаємодій»,100
"вагітні або жінки, які планують завагітніти (див",99
гіперчутливість до діючих речовин або до будь,97
підвищена індивідуальна чутливість,97
особливості застосування та взаємодія з іншими лікарськими засобами,96
підвищений тонус парасимпатичної нервової системи,96
підвищена чутливість до діючої речовини або до інших компонентів лікарського засобу,94
підвищена чутливість до ібупрофену або до будь,94
підвищена чутливість до препарату,93
гострий інфаркт міокарда,93
гіпонатріємія,93
тяжка дисліпопротеїнемія,93
дріжджі пивні дитячі: індивідуальна чутливість до окремих компонентів,93
"дріжджі пивні для волосся, шкіри та нігтів: індивідуальна чутливість до окремих компонентів, вагітність, годування грудьми немовлят",93
"дріжджі пивні імуностимулюючі: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні йод + кальцій: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні косметичні: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні натуральні: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні загальнозміцнюючі: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"каротином: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
дріжджі пивні з вітаміном с: індивідуальна чутливість до окремих компонентів,93
"дріжджі пивні з залізом: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні з женьшенем: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
дріжджі пивні з зародками пшениці: індивідуальна чутливість до окремих компонентів,93
"дріжджі пивні з йодом: індивідуальна чутливість до окремих компонентів, вагітність, період лактації, особам із захворюваннями щитовидної залози, при вживанні інших препаратів йоду",93
"дріжджі пивні з калієм: індивідуальна чутливість до окремих компонентів, вагітність, період лактації, порушення видільної функції нирок",93
"дріжджі пивні з кальцієм та залізом: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні з кальцієм та магнієм: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні з кальцієм, магнієм та залізом: індивідуальна чутливість до окремих компонентів",93
"дріжджі пивні з кальцієм, магнієм та цинком: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
дріжджі пивні з кальцієм: індивідуальна чутливість до окремих компонентів,93
"дріжджі пивні з ламінарією: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
дріжджі пивні з магнієм: індивідуальна чутливість до окремих компонентів,93
дріжджі пивні з мумійо: індивідуальна чутливість до окремих компонентів,93
"дріжджі пивні з плодами розторопші: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні з селеном: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні з сіркою: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
дріжджі пивні з цинком: індивідуальна чутливість до окремих компонентів,93
дріжджі пивні з чебрецем: індивідуальна чутливість до окремих компонентів,93
"дріжджі пивні з чорницею: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
дріжджі пивні з ехінацеєю: індивідуальна чутливість до окремих компонентів,93
дріжджі пивні з янтарною кислотою: індивідуальна чутливість до окремих компонентів,93
"дріжджі пивні хондроетин + глюкозамін: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
"дріжджі пивні чиста шкіра: індивідуальна чутливість до окремих компонентів, вагітність, період лактації",93
серцево,92
лактамних антибіотиків,91
період годування грудьми,91
тромбофлебіт,91
з боку імунної системи : рідко,90
тяжкі серцево,90
період вагітності та годування грудьми,90
ангіотензин,90
дитячий вік до 18 років,90
розділи «особливості застосування» та «взаємодія з іншими лікарськими засобами та інші види взаємодій»,90
повідомлення про підозрювані побічні реакції,89
з боку шлунково,87
шок (включаючи кардіогенний шок,87
літій,87
хвороба крона або неспецифічний виразковий коліт,87
ііі триместр вагітності,87
анемія,86
яких інших компонентів лікарського засобу,85
"часто (≥1/100, <1/10",85
"лактамних антибактеріальних засобів (пеніцилінів, монобактамів та карбапенемів",84
галактози,84
хронічна диспепсія,84
підвищена чутливість до діючої речовини або до інших компонентів препарату,84
"ефірна олія аїру: підвищена чутливість до ефірних олій, діти до 6 років, вагітність",84
"ефірна олія анісу: підвищена чутливість до ефірних олій, вагітність, діти до 12 років",84
не застосовувати без рекомендацій ароматерапевта,84
"увага! високе передозування може викликати запаморочення, стан сп’яніння, уповільнює кровообіг",84
ефірна олія апельсина: підвищена чутливість до ефірних олій,84
"ефірна олія бергамоту: вагітність, алергія на цитрусові, чутливість шкіри, діти молодше 12 років",84
ефірна олія валеріани: підвищена чутливість до ефірних олій,84
"не варто використовувати ефірну олію валеріани перед здійсненням дій, що вимагають зібраності та рішучості",84
увага! використання цієї олії може викликати безсоння у людей з підвищеним артеріальним тиском,84
ефірна олія ванілі: підвищена чутливість до ефірних олій,84
"ефірна олія вербени: підвищена чутливість до ефірних олій, вагітність, діти до 3 років",84
"ефірна олія гвоздики: підвищена чутливість до ефірних олій, вагітність, діти, підвищена нервова збудливість",84
"ефірна олія герані: підвищена чутливість до ефірної олії герані, діти до 12 років",84
ефірна олія грейпфруту: підвищена чутливість до цитрусових,84
"ефірна олія ялини: підвищена чутливість до ефірних олій, вагітність, патологія нирок",84
ефірна олія жасмину: підвищена чутливість до ефірних олій (може викликати алергічну реакцію на шкірі,84
ефірна олія іланг,84
ілангу: підвищена чутливість до ефірних олій,84
занадто сильний аромат іланг,84
ілангу може викликати запаморочення і головний біль,84
ефірна олія імбиру: підвищена чутливість до ефірних олій,84
ефірна олія ісопу: підвищена чутливість до ефірних олій,84
"ефірна олія кедру: підвищена чутливість до ефірних олій, вагітність, одночасне застосування з хіміотерапією, епілепсія",84
"ефірна олія кипарису: підвищена чутливість до ефірних олій, хворі на епілепсію, підвищений артеріальний тиск",84
"ефірна олія коріандру: підвищена чутливість до ефірних олій, вагітність",84
не наносити на відкриті рани,84
неприпустимі передозування,84
"ефірна олія кориці: підвищена чутливість до ефірних олій, вагітність, не наносити на шкіру обличчя нерозбавленим, підвищений артеріальний тиск, діти до 12 років",84
увага! передозування може викликати подразнення шкіри,84
"ефірна олія лаванди: підвищена чутливість до ефірних олій, вагітність",84
"ефірна олія лавру: підвищена чутливість до ефірних олій, епілепсія, діти до 12 років, астма, вагітність",84
