Назва препарату,Лікарська форма,n
Мелатонін (Melatonin),,9
Пластир катушковий (Coil plaster),,9
Шампунь (Shampoo),,8
Бальзам для губ (Lip balm),,7
Валеріана (Valeriana),,7
Біотин (Biotin),,6
ПУЛЬСОКСИМЕТР (PULSE OXIMETER),,6
Халат хірургічний (Surgical gown),,6
Маска для волосся (Hair mask),,5
Розторопша (Silybum Marianum),,5
Олія Реп'яхова (Burdock OIL),,5
Хлоргексидину біглюконат (Chlorhexidini bigluconas),,4
Обліпихова олія (Oleum hippopheae),,4
Антисептик для рук (Antiseptic for hands),,4
Селен (Selenium),,4
Пляшечка (Bottle),,4
МАСКА МЕДИЧНА (MEDICAL MASK),,4
Сабельник (Comarum),,4
Вазелін косметичний (Vaseline cosmetic),,4
Подгузники детские (Diapers for children),,3
Присипка дитяча Джонсонс (Powder for kids Johnson's),,3
Пантенол спрей (Panthenol spray),,3
МАСКА МЕДИЧНА ЗАХИСНА (MEDICAL PROTECTIVE MASK),,3
Сорбіт (Sorbitum),,3
Прорізувач для зубів (Teethers),,3
Синусан (Sinusan),,3
Кальцію глюконат (Calcium gluconate),,3
Серветки вологі дитячі (Wet wipes for kids),,3
"Результати підвищеної точності, яким можна довіряти.",,3
Розторопша (Milk Thistle),,3
Селен (Selen),,3
Крем для обличчя (Face cream),,3
Максіопрост (Maxioprost),,3
Ісландський мох (Iceland moss),,3
Омега-3 (Omega-3),,3
Ашваганда (Ashwagandha),,3
Норматрокс (Normatrox),,3
Окуляри коригуючі для зору (Corrective glasses for vision),,3
БАХІЛИ ПОЛІЕТИЛЕНОВІ (SHOE COVERS POLYETHYLENE),,3
Бинт марлевий медичний стерильний (Gauze bandages MEDICAL sterile),,3
Атопіконтрол (Atopicontrol),,3
Аскорбінова кислота (Ascorbic acid),,3
Ін'єкційні голки Інсупен (Injection needles Insupen),,3
Шприц трьохкомпонентний (Syringe three-component),,3
Підгузки-трусики дитячі (Diapers panties for children),,2
Підгузки Чіколіно (Diapers Chicolino),,2
Пустирник (Motherwort),,2
Просталін форте (Prostalin forte),,2
Олія ши (Shea oil),,2
Проктобам (Proctobam),,2
Омега 3-6-9 (Omega 3-6-9),,2
Прокладки гігієнічні Олвейс ультра платинум лайт ультратонкі,,2
Олія чайного дерева (Tea tree oil),,2
Підгузники для дорослих (Diapers for adults),,2
Прокладки гігієнічні Котекс колорс нормал ультрасін віз вінгс падс део,,2
Пірацетам (Piracetam),,2
Олія насіння гарбуза (Pumpkin seed oil),,2
Олія меліси (Oil lemon balm),,2
Ренід (Renid),,2
Рескюзан (Resquezan),,2
Рибоксин (Riboxine),,2
Олія масажна (Oil massage),,2
Олія кориці (Oil cinnamon),,2
Розторопши олія (Thistle oil),,2
Ромашка (Chamomile),,2
Ротабіотик (Rotabiotic),,2
Рукавички оглядові нітрилові нестерильні Медікеа (Nitrile examination nitrile gloves Medicare),,2
Олія насіння льону (Flax seed oil),,2
Пантенол (Panthenol),,2
Панкреатин 10000 (Pancreatin 10000),,2
Панчохи компресійні (Compression stockings),,2
Панчохи медичні еластичні компресійні,,2
Пектолван ® Фіто ісландський мох (Pectolvan Phyto iceland moss),,2
Пелюшки гігієнічні,,2
Перекис водню (Hydrogen peroxide),,2
Пертусин (Pertussin),,2
Пластир Панночка (Patch Pannochka),,2
Пластир бактерицидний (Bactericidal plaster),,2
ПУЛЬСОКСИМЕТР FINGERTIP PULSE OXIMETER (FINGERTIP PULSE OXIMETER),,2
Пластир перцевий (Pepper patch),,2
Пластир хірургічний Мікропор (Plaster surgical Micropore),,2
Провітадін форте (Provitadin forte),,2
Плюща сироп (Ivy syrup),"Сироп. Основні фізико-хімічні властивості: світло-коричнева, злегка мутнувата рідина з солодким фруктовим смаком і вишневим запахом.
Сироп. Основні фізико-хімічні властивості: світло-коричнева, злегка мутнувата рідина з солодким фруктовим смаком і вишневим запахом.
Сироп.
Основні фізико-хімічні властивості: світло-коричнева, злегка мутнувата рідина з солодким фруктовим смаком і вишневим запахом.
Фармакотерапевтична група Засоби, що застосовуються при кашлі та застудних захворюваннях. Відхаркувальні засоби. Код АТХ R05C А12.",2
ПЛЯШЕЧКА (BOTTLE),,2
Пов'язка спеціальна Гідрокол,,2
Подовжувач інфузійних помп (Extension of infusion pumps),,2
Покриття операційне офтальмологічне Славна стерильне,,2
Полину гіркого трава (Artemisiae absinthii herba),,2
Помада гігієнічна (Lipstick hygienic),,2
Порошок гірчичний (Mustard powder),,2
Орвісептол (Orviseptol),,2
Престо гель (Presto gel),,2
Омепразол (Omeprazole),,2
Провітадін актив (Provitadin active),,2
Прокладки гігієнічні Бела фор тінс ультра енерджі сілкі драй део екзотік фрутс,,2
Прокладки гігієнічні Діскріт део спрінг бріз мультиформ пантілайнерс,,2
Плюща сироп (Ivy syrup),,2
Шампунь проти лупи (SHAMPOO AGAINST DANDRUFF),,2
Шампунь відновлюючий (Restoring shampoo),,2
ШАБЕЛЬНИК-КРАПЛІ (COMARUM-DROPS),,2
Ісландський мох (CETRARIA ISLANDICA),,2
Хепілор (Happylor),,2
Фіточай бронхолітичний (Fitotea broncholytic),,2
Фіточай Шлунково-кишковий (Fitotea Gastrointestinal),,2
Фіточай Послаблюючий (Fitotea Laxative),,2
Олія масажна (Massage oil),,2
Фіточай Ананас норма (Fitotea Pineapple norm),,2
Фотодерм макс емульсия (Photoderm max emulsion),,2
Флюаут (Flyuaut),,2
Флебосил (Phlebosil),,2
ФОЛІЙ ПЛЮС (FOLY PLUS),,2
ФКУ нутрі 3 концентрат (PKU nutri 3 concentrate),,2
