ngram,freq
лікування,27400
застосування,16853
не,14511
мг,14313
пацієнтів,12216
слід,10121
після,9307
добу,9267
олія,8427
препарату,8233
ефірна,7650
ефірна олія,7649
шкіри,7533
за,7404
застосовувати,7358
років,7154
засіб,6983
віком,6821
інфекції,6666
терапії,6357
дози,5964
дорослих,5962
які,5813
захворювання,5704
доза,5374
має,5252
див,5227
препарат,5137
дітей,5070
можна,5023
сприяє,4952
протипоказання,4490
функції,4304
дріжджі,4156
дозу,4154
мл,4153
організму,4129
пацієнтам,4128
печінки,4117
протягом,4093
якщо,4088
пивні,4063
дріжджі пивні,3970
яких,3748
дію,3706
інших,3700
рекомендується,3610
порушення,3604
профілактика,3594
інфекцій,3593
захворювань,3518
системи,3390
рекомендовано,3333
10,3315
засобу,3306
разі,3261
терапія,3253
діти,3236
нирок,3233
12,3224
дітям,3147
шляхів,3135
рази,3073
час,3053
підвищена,3039
захворюваннях,3018
речовин,3005
становить,2990
лікарського,2970
болю,2956
лікарського засобу,2956
крові,2953
може,2868
показаний,2844
недостатність,2842
чутливість,2806
тіла,2793
днів,2743
віку,2730
залози,2714
необхідно,2675
рази добу,2669
профілактики,2662
комбінації,2648
числі,2622
властивості,2618
пов,2614
період,2599
особливості,2567
кг,2550
лікарський,2544
особливості застосування,2532
лікарський засіб,2527
таблетки,2520
нормалізації,2510
підвищена чутливість,2462
допоміжний,2427
мг добу,2410
пацієнти,2386
іншими,2373
інші,2355
допоміжний засіб,2351
симптомів,2346
зниження,2340
ступеня,2336
дітей віком,2327
раз,2309
включаючи,2303
кислота,2292
засобами,2278
вітамін,2263
надає,2246
протипоказання підвищена,2238
ризику,2230
засобів,2200
ефект,2183
хв,2179
зміцнення,2170
перед,2161
біль,2161
гострий,2147
хвороби,2131
хворих,2107
його,2075
загального,2070
протипоказання підвищена чутливість,2057
щодо,2055
введення,2054
кальцію,2023
літнього,2009
літнього віку,2006
раз добу,1968
ін,1966
тканин,1962
розділ,1955
бути,1952
симптоматичне,1950
волосся,1947
див розділ,1941
прийому,1930
год,1909
приймати,1899
стану,1898
зміцнення організму,1875
дітям віком,1866
симптоматичне лікування,1865
підвищення,1863
слід застосовувати,1862
компонентів,1859
зменшення,1845
синдром,1835
функції нирок,1832
дріжджів,1831
дорослим,1817
дозування,1815
анамнезі,1801
недостатністю,1798
30,1792
усунення,1792
загального зміцнення,1782
загального зміцнення організму,1782
12 років,1778
дорослих пацієнтів,1770
дихальних,1766
розвитку,1748
дихальних шляхів,1742
віком років,1740
лікуванні,1730
застосовують,1703
20,1700
догляду,1698
її,1696
догляду за,1683
рекомендована,1683
виникнення,1672
необхідності,1662
проявляє,1661
спричинені,1660
прийом,1657
хвороба,1652
віком 12,1616
призначати,1607
функції печінки,1601
порушенням,1598
міокарда,1595
можна застосовувати,1576
шкірою,1566
більше,1564
стан,1553
спричинених,1553
складі,1546
недостатності,1543
ризик,1524
тривалість,1521
50,1511
супроводжуються,1501
віком 12 років,1499
органів,1496
яких тканин,1492
добова,1469
особливо,1457
лікарськими,1457
100,1447
терапію,1446
випадках,1445
дорослі,1439
застосуванні,1438
добова доза,1425
вагітності,1423
лікарськими засобами,1417
дорослих дітей,1411
не слід,1408
обміну,1384
мл хв,1380
серця,1380
пацієнта,1370
метою,1365
застосування препарату,1363
15,1349
залежно,1341
препаратів,1334
фізичних,1323
застосовується,1320
шлунка,1314
будь-якого,1307
застосуванням,1305
типу,1302
чутливими,1300
оскільки,1299
креатиніну,1298
речовини,1296
жінок,1294
порожнини,1290
антисептичну,1287
доза становить,1277
дії,1276
пневмонія,1273
тиж,1269
можуть,1267
25,1262
протизапальну,1255
гострих,1255
маси,1240
використовується,1236
гострого,1236
допомагає,1228
дозі,1228
початкова,1218
діяльності,1214
порушеннями,1210
усуненню,1209
показаний лікування,1202
мг кг,1200
усуває,1198
кишки,1193
маси тіла,1189
18,1188
раку,1188
препаратами,1183
нервової,1181
гострі,1172
реакції,1166
компоненти,1165
запальних,1165
рівня,1157
кісток,1152
шкіру,1146
інфекції шкіри,1146
тяжкості,1143
тяжка,1139
200,1137
зазвичай,1136
допоміжні,1134
нервової системи,1131
ускладнені,1130
мг раз,1124
суглобів,1123
500,1123
день,1120
лікування пацієнтів,1117
40,1116
гіперчутливість,1105
хронічний,1095
запалення,1095
годування,1089
джерело,1084
призначений,1083
порушення функції,1080
молочної,1080
може бути,1079
допоміжні компоненти,1078
молочної залози,1074
полегшення,1073
груддю,1070
наявність,1069
гідрохлорид,1068
іншими лікарськими,1064
пацієнтів які,1059
тяжкі,1059
проведення,1058
