phrase,count
діти,1792
"ацетат, тіаміну мононітрат, рибофлавін, піридоксину гідрохлорид, аскорбінова кислота, кальцію d",993
"пантотенат, фолієва кислота, нікотинамід, д",993
"біотин, вітамін в12), допоміжні компоненти",961
особливості застосування,619
розділ «особливості застосування»,603
пацієнти літнього віку,353
розділ «взаємодія з іншими лікарськими засобами та інші види взаємодій»,343
дорослі,305
негоспітальна пневмонія,276
розділ «застосування у період вагітності або годування груддю»,233
протипоказання,228
шлунково,209
протипоказання підвищена чутливість до будь,202
йод,186
психічних і фізичних навантажень,186
"магній надає нормалізуючу дію на стан нервової системи, проявляє судинорозширюючий ефект, сприяє запобіганню кальцифікації м’яких тканин, є антистресовим елементом",186
кальцій в організмі бере участь у функціонуванні серцево,186
спосіб застосування,180
артеріальна гіпертензія,180
особливі заходи безпеки,179
інфекції кісток і суглобів,177
якої з допоміжних речовин,175
септицемія,169
фармакологічні властивості,169
ефірна олія іланг,168
сприяє зміцненню волосся,168
потужний стимулятор імунітету при інфекційних захворюваннях верхніх дихальних шляхів,168
як сильний антисептик допомагає при шкірних захворюваннях,168
"має анальгетичну дію при суглобових болях, міозитах, невритах",168
допомагає відновити життєві сили після тривалої хвороби,168
протипоказання підвищена чутливість до діючої речовини або до будь,165
профілактика серцево,165
якої з допоміжних речовин препарату,163
епілепсія,161
судинної системи,159
ниркова недостатність,157
якого компонента препарату,148
черепно,144
якого іншого компонента препарату,141
гострий середній отит,140
фармакокінетика,139
якої з допоміжних речовин лікарського засобу,133
протипоказання підвищена чутливість до компонентів препарату,132
судинних захворювань,131
якого з компонентів препарату,129
езофагіту,129
фармакодинаміка,127
рухового апарату,124
дріжджі пивні з бета,124
ускладнені інфекції шкіри і м’яких тканин,123
протипоказання гіперчутливість до діючої речовини або до будь,121
хронічний бактеріальний простатит,120
розділ «фармакодинаміка»,118
розділ «фармакологічні властивості»,116
ускладнені інфекції шкіри та м’яких тканин,108
печінкова недостатність,108
максимальна добова доза,105
у складі комплексної терапії,104
синдром золлінгера,104
порушення функції печінки,102
езофагіт,100
див,99
когнітивні порушення та порушення поведінки внаслідок хронічних судинних і дегенеративних церебральних розладів,99
дегенеративно,99
еллісона,97
судинної і нервової системи,96
"дріжджі пивні дитячі: для загального зміцнення організму, нормалізації формування опорно",93
"дріжджі пивні для волосся, шкіри та нігтів: для загального зміцнення організму та забезпечення красивого вигляду волосся, шкіри та нігтів",93
"дріжджі пивні імуностимулюючі: для загального зміцнення організму, сприяє підвищенню імунітету і нормалізації обміну речовин",93
"сприяють підвищенню стійкості організму до агресивного впливу чинників навколишнього середовища, є додатковим джерелом вітамінів і біологічно активних сполук горобини, шипшини та ехінацеї",93
"застосовуються як допоміжний засіб при застудних захворюваннях, бронхітах, пневмоніях, для підвищення ефективності антибактеріальної і протизапальної терапії",93
дріжджі пивні йод + кальцій: додаткове джерело кальцію і йоду,93
сприяють зміцненню кісткової системи і нормалізації обміну речовин,93
"кальцій надає нормалізує, при психоемоційних перевантаженнях, нервовому напруженні, сприяє росту м’язів, є додатковим засобом при алергії, остеопорозі",93
"єдиний мікроелемент, який бере участь в утворенні тироксину (гормону щитовидної залози",93
"фізіологічна роль тироксину, а, отже, і йоду, який є найважливішим активним компонентом цього гормону, виключно велика",93
саме від нього залежить стан енергетичного обміну і рівень теплопродукції організму,93
