Назва препарату,Протипоказання_clean
А-Дістон (A-Diston),"Підвищена чутливість до компонентів препарату, алергія до рослин родини складноцвітих; алкоголізм в анамнезі, одночасне застосування препаратів, що містять алкоголь; виразкова хвороба шлунка і дванадцятипалої кишки; цироз печінки; виражена артеріальна гіпотензія або брадикардія; депресія та інші захворювання, що супроводжуються пригніченням діяльності центральної нервової системи; бронхіальна астма. Підвищена чутливість до компонентів препарату, алергія до рослин родини складноцвітих; алкоголізм в анамнезі, одночасне застосування препаратів, що містять алкоголь; виразкова хвороба шлунка і дванадцятипалої кишки; цироз печінки; виражена артеріальна гіпотензія або брадикардія; депресія та інші захворювання, що супроводжуються пригніченням діяльності центральної нервової системи; бронхіальна астма. Підвищена чутливість до компонентів препарату, алергія до рослин родини складноцвітих; алкоголізм в анамнезі, одночасне застосування препаратів, що містять алкоголь; виразкова хвороба шлунка і дванадцятипалої кишки; цироз печінки; виражена артеріальна гіпотензія або брадикардія; депресія та інші захворювання, що супроводжуються пригніченням діяльності центральної нервової системи; бронхіальна астма. Оскільки препарат А-Дістон містить спирт етиловий 70%, можливе потенціювання дії снодійних препаратів, транквілізаторів, нейролептиків; препарати собачої кропиви, валеріани, глоду можуть потенціювати фармакологічні ефекти седативних, снодійних, аналгетичних, антигіпертензивних препаратів та серцевих глікозидів, а також посилюють дію алкоголю"
А-Церумен Нео Плюс (A-Cerumen Neo Plus ),
Аб'юфен (Abufene),"підвищена індивідуальна чутливість до компонентів препарату. Підвищена чутливість або непереносимість глютену, оскільки препарат містить крохмаль пшеничний. підвищена індивідуальна чутливість до компонентів препарату. Підвищена чутливість або непереносимість глютену, оскільки препарат містить крохмаль пшеничний. підвищена індивідуальна чутливість до компонентів препарату. Підвищена чутливість або непереносимість глютену, оскільки препарат містить крохмаль пшеничний. Побічна дія можливі поодинокі випадки таких побічних реакцій: парестезії, зазвичай у кінцівках; алергічні реакції, включаючи висип на шкірі та слизових оболонках, почервоніння шкіри, свербіж, кропив’янка; синці"
АБ'ЮФЕН ДЕЛІКАТ (ABUFENE DELICATE),"не використовуйте Аб’юфен Делікат, якщо у Вас алергія на будь-який компонент медичного виробу. не використовуйте Аб’юфен Делікат, якщо у Вас алергія на будь-який компонент медичного виробу. не використовуйте Аб’юфен Делікат, якщо у Вас алергія на будь-який компонент медичного виробу. Побічна дія немає відомих побічних ефектів. В окремих випадках застосування Аб’юфену Делікат може викликати алергічну реакцію. У разі будь-яких ознак алергічної реакції негайно припиніть використання медичного виробу та проінформуйте свого лікаря або фармацевта"
Абертін (Abertin),"індивідуальна чутливість до компонентів, що входить до складу дієтичної добавки, дітям, вагітним жінкам та жінкам у період годування груддю. Застереження: щоденне вживання більше 4 г (g) бетаїпу може істотно підвищити рівень холестерину у крові. Надмірне споживання може спричините послаблюючий ефект. Цей продукт не призначений для діагностики, лікування a6o попередження будь-яких хвороб. індивідуальна чутливість до компонентів, що входить до складу дієтичної добавки, дітям, вагітним жінкам та жінкам у період годування груддю. Застереження: щоденне вживання більше 4 г (g) бетаїпу може істотно підвищити рівень холестерину у крові. Надмірне споживання може спричините послаблюючий ефект. Цей продукт не призначений для діагностики, лікування a6o попередження будь-яких хвороб. індивідуальна чутливість до компонентів, що входить до складу дієтичної добавки, дітям, вагітним жінкам та жінкам у період годування груддю. Застереження: щоденне вживання більше 4 г (g) бетаїпу може істотно підвищити рівень холестерину у крові. Надмірне споживання може спричините послаблюючий ефект. Цей продукт не призначений для діагностики, лікування a6o попередження будь-яких хвороб. Умови зберігання в оригінальній упаковці при кімнатній температурі (15–25 °С) в сухому місці. Зберігати в недоступному для дітей місці"
Абиклав (Abiklav),"Підвищена чутливість до активних речовин, до будь-якого препарату з групи пеніцилінів або до будь-якої допоміжної речовини. Тяжка реакція підвищеної чутливості негайного типу (наприклад анафілаксія) в анамнезі на інший β-лактамний препарат (наприклад цефалоспорин, карбапенем або монобактам). Жовтяниця/порушення функції печінки внаслідок прийому амоксициліну та клавуланової кислоти в анамнезі. Підвищена чутливість до активних речовин, до будь-якого препарату з групи пеніцилінів або до будь-якої допоміжної речовини. Тяжка реакція підвищеної чутливості негайного типу (наприклад анафілаксія) в анамнезі на інший β-лактамний препарат (наприклад цефалоспорин, карбапенем або монобактам). Жовтяниця/порушення функції печінки внаслідок прийому амоксициліну та клавуланової кислоти в анамнезі. Підвищена чутливість до активних речовин, до будь-якого препарату з групи пеніцилінів або до будь-якої допоміжної речовини. Тяжка реакція підвищеної чутливості негайного типу (наприклад анафілаксія) в анамнезі на інший β-лактамний препарат (наприклад цефалоспорин, карбапенем або монобактам). Жовтяниця/порушення функції печінки внаслідок прийому амоксициліну та клавуланової кислоти в анамнезі. Пробенецид. Одночасне застосування пробенециду не рекомендовано. Пробенецид знижує ниркову канальцеву секрецію амоксициліну. Одночасне його застосування з Абиклавом може призвести до підвищених рівнів амоксициліну в крові протягом тривалого часу, проте не впливає на рівні клавуланової кислоти. Алопуринол. Одночасний прийом алопуринолу під час лікування амоксициліном може підвищувати вірогідність виникнення шкірних алергічних реакцій. Даних щодо одночасного застосування препарату та алопуринолу немає. Як і інші антибіотики, препарат може впливати на флору кишечнику, що призведе до зменшення реабсорбції естрогенів та зменшення ефективності комбінованих пероральних контрацептивних засобів. Метотрексат. Пеніциліни можуть зменшувати екскрецію метотрексату, що може призвести до потенційного підвищення токсичності. Пробенецид. Супутнє застосування пробенециду не рекомендується. Пробенецид зменшує ниркову канальцеву секрецію амоксициліну. Супутнє застосування пробенециду може призвести до підвищення та тривалого збереження рівня амоксициліну в крові. Існують окрeмі дані про збільшення рівня міжнародного нормалізованого співвідношення (МНВ) у пацієнтів, які лікуються аценокумаролом або варфарином та приймають амоксицилін. Якщо таке застосування необхідне, слід ретельно контролювати протромбіновий час або рівень міжнародного нормалізованого співвідношення з додаванням або припиненням лікування Абиклавом. У хворих, які лікуються мікофенолатом мофетілом, після початку застосування перорального амоксициліну з клавулановою кислотою може зменшитися предозова концентрація активного метаболіту мікофенольної кислоти приблизно на 50%. Ця зміна предозового рівня може не точно відповідати зміні загальної експозиції мікофенольної кислоти. Пеніциліни можуть зменшувати виведення метотрексату, що може спричинити зростання токсичності останнього"
Абипим (Abypim),"Підвищена чутливість до цефепіму або L-аргініну, а також до антибіотиків цефалоспоринового класу, пеніцилінів або інших β-лактамних антибіотиків. Підвищена чутливість до цефепіму або L-аргініну, а також до антибіотиків цефалоспоринового класу, пеніцилінів або інших β-лактамних антибіотиків. Підвищена чутливість до цефепіму або L-аргініну, а також до антибіотиків цефалоспоринового класу, пеніцилінів або інших β-лактамних антибіотиків. Застосовуючи високі дози аміноглікозидів одночасно з цефепімом, необхідно уважно стежити за функцією нирок через потенційну нефротоксичність та ототоксичність аміноглікозидних антибіотиків. Нефротоксичність відзначалася після одночасного застосування інших цефалоспоринів з діуретиками, такими як фуросемід. Цефепім концентрацією від 1 до 40 мг/мл сумісний з такими парентеральними розчинами: 0,9% розчин натрію хлориду для ін’єкцій; 5 і 10% розчини глюкози для ін’єкцій; розчин 6М натрію лактату для ін’єкцій, розчин 5% глюкози і 0,9% натрію хлориду для ін’єкцій; розчин Рінгера з лактатом і 5% розчином глюкози для ін’єкцій. Щоб уникнути можливої лікарської взаємодії з іншими препаратами, розчини цефепіму (як і більшості інших β-лактамних антибіотиків) не слід вводити одночасно з розчинами метронідазолу, ванкоміцину, гентаміцину, тобраміцину сульфату і нетилміцину сульфату. У разі необхідності призначення цефепіму із зазначеними препаратами кожен антибіотик вводити окремо. Вплив на результати лабораторних тестів. Застосування цефепіму може призвести до хибнопозитивної реакції на глюкозу в сечі у разі використання реактиву Бенедикта. Рекомендується використовувати тести на глюкозу, засновані на ферментній реакції окислення глюкози"
Абифлокс розчин для інфузій (Abiflox solution for infusion ),"Левофлоксацин не слід призначати в таких випадках: підвищена чутливість до левофлоксацину або до інших хінолонів чи до будь-яких інших компонентів лікарського засобу; з боку сухожиль після попереднього застосування хінолонів; епілепсія; дитячий вік (до 18 років); період вагітності або годування груддю. Левофлоксацин не слід призначати в таких випадках: підвищена чутливість до левофлоксацину або до інших хінолонів чи до будь-яких інших компонентів лікарського засобу; з боку сухожиль після попереднього застосування хінолонів; епілепсія; дитячий вік (до 18 років); період вагітності або годування груддю. Левофлоксацин не слід призначати в таких випадках: підвищена чутливість до левофлоксацину або до інших хінолонів чи до будь-яких інших компонентів лікарського засобу; з боку сухожиль після попереднього застосування хінолонів; епілепсія; дитячий вік (до 18 років); період вагітності або годування груддю. Вплив інших лікарських засобів на препарат Абифлокс Теофілін, фенбуфен чи подібні нестероїдні протизапальні лікарські засоби Не було виявлено фармакокінетичної взаємодії левофлоксацину з теофіліном. Проте можливе суттєве зниження судомного порога при одночасному застосуванні хінолонів з теофіліном, нестероїдними протизапальними препаратами та іншими агентами, що зменшують судомний поріг. Концентрація левофлоксацину при наявності фенбуфену була приблизно на 13% вищою, ніж при прийомі лише левофлоксацину. Пробенецид і циметидин Пробенецид та циметидин статистично достовірно впливають на виведення левофлоксацину. Нирковий кліренс левофлоксацину знижується при наявності циметидину на 24% та пробенециду — на 34%. Це тому, що обидва препарати здатні блокувати канальцеву секрецію левофлоксацину. Однак при дозах, випробуваних під час дослідження, немає вірогідності, що статистично значущі кінетичні відмінності будуть клінічно значущими. Слід з обережністю застосовувати левофлоксацин одночасно з лікарськими засобами, що впливають на канальцеву секрецію, такими як пробенецид та циметидин, особливо пацієнтам з нирковою недостатністю. Інша інформація На фармакокінетику левофлоксацину при одночасному з ним застосуванні не виявляють ніякого клінічно значущого впливу карбонат кальцію, дигоксин, глібенкламід, ранітидин. Вплив препарату Абифлокс на інші лікарські засоби Циклоспорин Період напіввиведення циклоспорину збільшується на 33% при одночасному застосуванні з левофлоксацином. Антагоністи вітаміну К При одночасному застосуванні з антагоністами вітаміну К (наприклад варфарином) повідомляли про підвищення коагуляційних тестів (ПЧ/міжнародне нормалізаційне співвідношення) і/або кровотечі, що можуть бути вираженими. Зважаючи на це, у пацієнтів, які отримують паралельно антагоністи вітаміну К, необхідно контролювати показники коагуляції ( . Лікарські засоби, що подовжують інтервал QT Левофлоксацин, подібно до інших фторхінолонів, слід застосовувати з обережністю пацієнтам, які отримують лікарські засоби, відомі своєю здатністю подовжувати інтервал QT (наприклад протиаритмічні засоби класу ІА та ІІІ, трициклічні антидепресанти та макроліди) ( . Інша значуща інформація Не відзначається впливу левофлоксацину на фармакокінетику теофіліну (який є маркерним субстратом для ферменту CYP1A2), що свідчить про те, що левофлоксацин не є інгібітором CYP1A2"
Абифлокс таблетки (Abiflox tablets ),"Підвищена чутливість до левофлоксацину, інших фторхінолонів або до будь-якого компонента препарату; епілепсія; ушкодження сухожиль після попереднього застосування фторхінолонів; дитячий вік; період вагітності або годування груддю. Підвищена чутливість до левофлоксацину, інших фторхінолонів або до будь-якого компонента препарату; епілепсія; ушкодження сухожиль після попереднього застосування фторхінолонів; дитячий вік; період вагітності або годування груддю. Підвищена чутливість до левофлоксацину, інших фторхінолонів або до будь-якого компонента препарату; епілепсія; ушкодження сухожиль після попереднього застосування фторхінолонів; дитячий вік; період вагітності або годування груддю. Антациди, які містять магній та алюміній: лікарські засоби, що містять солі заліза, цинку, диданозин Всмоктування левофлоксацину суттєво зменшується при одночасному застосуванні з антацидами, що містять магній та алюміній, лікарськими засобами, які містять солі заліза, або з диданозином (диданозин у буферній таблетці з алюмінієм або магнієм). Одночасне застосування фторхінолонів з мультивітамінами, що містять цинк, призводить до зниження їх всмоктування. Рекомендований термін часу між прийомом левофлоксацину та названими лікарськими засобами повинен становити не менше 2 годин. Солі кальцію мінімально впливають на всмоктування левофлоксацину. Сукральфат Біодоступність таблеток левофлоксацину значно зменшується при одночасному застосуванні препарату з сукральфатом. Якщо пацієнтові необхідно отримувати як сукральфат, так і левофлоксацин, краще приймати сукральфат через 2 години після прийому левофлоксацину ( . Теофілін, фенбуфен або інші подібні нестероїдні протизапальні лікарські засоби Не виявлено фармакокінетичної взаємодії левофлоксацину з теофіліном. Проте можливе суттєве зниження судомного порога при одночасному застосуванні хінолонів з теофіліном, нестероїдними протизапальними препаратами та іншими лікарськими засобами, які зменшують судомний поріг. Відомо, що концентрація левофлоксацину у присутності фенбуфену приблизно на 13% вища, ніж при прийомі лише левофлоксацину. Пробенецид і циметидин Пробенецид та циметидин статистично достовірно впливають на виведення левофлоксацину. Нирковий кліренс левофлоксацину знижується у присутності циметидину на 24% та пробенециду на 34%. Це пояснюється тим, що обидва препарати здатні блокувати канальцеву секрецію левофлоксацину. Слід з обережністю застосовувати левофлоксацин одночасно з лікарськими засобами, що впливають на канальцеву секрецію, такими як пробенецид та циметидин, особливо пацієнтам з нирковою недостатністю. Інші лікарські засоби На фармакокінетику левофлоксацину при одночасному з ним застосуванні не виявляють клінічно значущого впливу карбонат кальцію, дигоксин, глібенкламід, ранітидин. Вплив препарату на інші лікарські засоби Циклоспорин Період напіввиведення циклоспорину збільшується на 33% при одночасному прийомі з левофлоксацином. Антагоністи вітаміну К При одночасному застосуванні з антагоністами вітаміну К (наприклад варфарином) можуть підвищуватися показники коагуляційних тестів (ПЧ/міжнародне нормалізаційне співвідношення) та/або з’являтися кровотечі, які можуть бути вираженими. Зважаючи на це, у пацієнтів, які отримують паралельно антагоністи вітаміну К, необхідно контролювати показники коагуляції ( . Лікарські засоби, що подовжують інтервал QТ Левофлоксацин, як і інші фторхінолони, слід застосовувати з обережністю пацієнтам, які отримують лікарські засоби, відомі своєю здатністю подовжувати інтервал QТ (наприклад протиаритмічні засоби класу ІА та III, трициклічні антидепресанти та макроліти, антипсихотичні лікарські засоби) ( . Левофлоксацин не впливає на фармакокінетику теофіліну, який переважно метаболізується за допомогою CYP1A2, тому можна вважати, що левофлоксацин не є інгібітором CYP1A2. Інші форми взаємодії Прийом їжі Не спостерігалося клінічно значущої взаємодії з харчовими продуктами. Таблетки левофлоксацину, таким чином, можна приймати незалежно від прийому їжі"
Абізол (Abizol),"Підвищена чутливість до арипіпразолу або до будь-якого іншого компонента, що входить до складу препарату. Фенілкетонурія. Підвищена чутливість до арипіпразолу або до будь-якого іншого компонента, що входить до складу препарату. Фенілкетонурія. Підвищена чутливість до арипіпразолу або до будь-якого іншого компонента, що входить до складу препарату. Фенілкетонурія. Арипіпразол потенційно може посилювати дію деяких антигіпертензивних лікарських засобів внаслідок блокади α 1 - адренорецепторів. З огляду на основний вплив арипіпразолу на центральну нервову систему, слід дотримуватись обережності при одночасному застосуванні арипіпразолу з алкоголем або іншими лікарськими засобами, що впливають на центральну нервову систему. Слід дотримуватись обережності при одночасному застосуванні арипіпразолу з лікарськими засобами, що спричиняють подовження інтервалу QT та порушення рівня електролітів. Не виявлено значного впливу H 2 -блокатора гістамінових рецепторів фамотидину, що спричиняє значне пригнічення секреції соляної кислоти у шлунку, на фармакокінетику арипіпразолу. Відомі різні шляхи метаболізму арипіпразолу, у тому числі з участю ферментів CYP2D6 і CYP3A4, але не ферментами CYP1A. Таким чином, для курців не потрібно змінювати дозу. Хінідин та інші інгібітори CYP2D6 Потужні інгібітори CYP2D6 (хінідин) підвищують AUC арипіпразолу на 107%, у той час як C max залишається незміненою. AUC та C max дегідроарипіпразолу, активного метаболіту, знижується на 32% та 47%. Дозу арипіпразолу необхідно зменшити наполовину при одночасному застосуванні з хінідином. Інші інгібітори CYP2D6, такі як флуоксетин та пароксетин, можуть володіти подібною дією, тому може бути необхідним зменшити дози препарату. Кетоконазол та інші інгібітори CYP3A4 У ході досліджень виявлено, що потужні інгібітори CYP3A4 (кетоконазол) підвищували AUC та C max арипіпразолу на 63% та 37% відповідно. AUC та C max дегідроарипіпразолу підвищувалися на 77% та 43% відповідно. Одночасне застосування потужних інгібіторів CYP3A4 може призводити до підвищеної концентрації у крові арипіпразолу. При одночасному застосуванні кетоконазолу або інших потужних інгібіторів CYP3A4 слід зважити потенційну користь та можливі ризики для пацієнта. При одночасному застосуванні кетоконазолу дозу арипіпразолу необхідно зменшити приблизно наполовину рекомендованої дози. При застосуванні інших потужних інгібіторів CYP3A4, таких як ітраконазол або інгібітори ВІЛ протеаз, очікуються подібні ефекти та зниження дози. Після припинення застосування інгібіторів CYP2D6 чи CYP3A4 дозу арипіпразолу необхідно підвищити до первинного рівня. При одночасному застосуванні слабких інгібіторів CYP3A4 (наприклад дилтіазему, есциталопраму) чи CYP2D6 можна очікувати помірного підвищення концентрації арипіпразолу. Карбамазепін та інші індуктори CYP3A4 Прийом 30 мг арипіпразолу разом з карбамазепіном, потужним індуктором CYP3A4, супроводжувався зменшенням на 68% і 73% C max і AUC арипіпразолу відповідно і зниженням на 69% і 71% C max та AUC його активного метаболіту дегідроарипіпразолу відповідно. Дозу арипіпразолу необхідно збільшити у 2 рази при одночасному застосуванні з карбамазепіном. Можна чекати аналогічної дії при взаємодії з іншими потужними індукторами CYP3A4 (такими як рифампіцин, рифабутин, фенітоїн, фенобарбітал, примідон, ефавіренц, невірапін, звіробій). Після припинення застосування потужних індукторів CYP3A дозу арипіпразолу необхідно зменшити до рекомендованої дози. Вальпроат та літій При одночасному прийомі вальпроату або літію та арипіпразолу не відзначалося клінічно значущого впливу на концентрацію арипіпразолу. Серотоніновий синдром У пацієнтів, які приймають арипіпразол, повідомляли про серотоніновий синдром, особливо при одночасному прийомі серотонінергічних лікарських засобів, таких як інгібітори зворотного захоплення серотоніну/інгібітори зворотного захоплення серотоніну та норадреналіну або лікарські засоби, що підвищують концентрацію арипіпразолу. Вплив арипіпразолу на інші лікарські засоби При прийомі арипіпразолу у дозі 10–30 мг/добу відсутній вплив на метаболізм субстратів CYP2D6 (відношення декстрометорфан/3-метоксиморфін), CYP2C9 (варфарин), CYP2C19 (омепразол) та CYP3A4 (декстрометорфан). Крім того, арипіпразол і його основний метаболіт дегідроарипіпразол не змінював метаболізм з участю ферменту CYP1A2 in vitro . Малоймовірний клінічно значущий вплив арипіпразолу на лікарські засоби, що метаболізуються з участю цих ферментів. Таким чином, арипіпразол не спричиняє клінічно значущих взаємодій, опосередкованих дією даних ферментів. При застосуванні арипіпразолу одночасно з вальпроатом, літієм чи ламотриджином відсутні клінічно важливі зміни концентрацій вальпроату, літію або ламотриджину"
