Назва препарату,Показання_clean
А-Дістон (A-Diston),"Застосовують у комплексному лікуванні функціональних розладів діяльності серцево-судинної системи, що супроводжуються аритмією, ішемією та гіпоксією (нейроциркуляторна дистонія, вегетоневроз) з метою кардіопротекції. Застосовують як допоміжний лікарський засіб при легких формах порушень серцевого ритму. Застосовують у комплексному лікуванні функціональних розладів діяльності серцево-судинної системи, що супроводжуються аритмією, ішемією та гіпоксією (нейроциркуляторна дистонія, вегетоневроз) з метою кардіопротекції. Застосовують як допоміжний лікарський засіб при легких формах порушень серцевого ритму. Застосовують у комплексному лікуванні функціональних розладів діяльності серцево-судинної системи, що супроводжуються аритмією, ішемією та гіпоксією (нейроциркуляторна дистонія, вегетоневроз) з метою кардіопротекції. Застосовують як допоміжний лікарський засіб при легких формах порушень серцевого ритму. Підвищена чутливість до компонентів препарату, алергія до рослин родини складноцвітих; алкоголізм в анамнезі, одночасне застосування препаратів, що містять алкоголь; виразкова хвороба шлунка і дванадцятипалої кишки; цироз печінки; виражена артеріальна гіпотензія або брадикардія; депресія та інші захворювання, що супроводжуються пригніченням діяльності центральної нервової системи; бронхіальна астма"
А-Церумен Нео Плюс (A-Cerumen Neo Plus ),
Аб'юфен (Abufene),"Аб’юфен показаний для лікування припливів, пов’язаних з менопаузою. Аб’юфен показаний для лікування припливів, пов’язаних з менопаузою. Аб’юфен показаний для лікування припливів, пов’язаних з менопаузою. Застосування Аб'юфен Аб’юфен застосовувати внутрішньо. Приймати 1–2 таблетки на добу (перед основним прийомом їжі). Цю дозу можна підвищити до 3 таблеток на добу. Мінімальний курс лікування — 5–10 днів (до припинення припливів). При поновленні припливів лікування може здійснюватися протягом усього періоду клінічних вазомоторних розладів, без обмеження часу застосування. Діти . Препарат не застосовувати у дітей"
АБ'ЮФЕН ДЕЛІКАТ (ABUFENE DELICATE),
Абертін (Abertin),
Абиклав (Abiklav),"Таблетки 500 мг/125 мг, вкриті плівковою оболонкою Лікування бактеріальних інфекцій, спричинених чутливими до препарату мікроорганізмами, таких як: гострий бактеріальний синусит; гострий середній отит; підтверджене загострення хронічного бронхіту; негоспітальна пневмонія; цистити; пієлонефрити; інфекції шкіри та м’яких тканин, у т. ч. целюліти, укуси тварин, тяжкі дентоальвеолярні абсцеси з поширеним целюлітом; інфекції кісток та суглобів, у т. ч. остеомієліти. Таблетки 875 мг/125 мг, вкриті плівковою оболонкою Лікування бактеріальних інфекцій у дорослих та дітей, спричинених чутливими до препарату мікроорганізмами, таких як: гострий бактеріальний синусит; гострий середній отит; підтверджене загострення хронічного бронхіту; негоспітальна пневмонія; цистити; пієлонефрити; інфекції шкіри та м’яких тканин, у т. ч. целюліти, укуси тварин, тяжкі дентоальвеолярні абсцеси з поширеним целюлітом; інфекції кісток та суглобів, у т. ч. остеомієліти. Таблетки 500 мг/125 мг, вкриті плівковою оболонкою Лікування бактеріальних інфекцій, спричинених чутливими до препарату мікроорганізмами, таких як: гострий бактеріальний синусит; гострий середній отит; підтверджене загострення хронічного бронхіту; негоспітальна пневмонія; цистити; пієлонефрити; інфекції шкіри та м’яких тканин, у т. ч. целюліти, укуси тварин, тяжкі дентоальвеолярні абсцеси з поширеним целюлітом; інфекції кісток та суглобів, у т. ч. остеомієліти. Таблетки 875 мг/125 мг, вкриті плівковою оболонкою Лікування бактеріальних інфекцій у дорослих та дітей, спричинених чутливими до препарату мікроорганізмами, таких як: гострий бактеріальний синусит; гострий середній отит; підтверджене загострення хронічного бронхіту; негоспітальна пневмонія; цистити; пієлонефрити; інфекції шкіри та м’яких тканин, у т. ч. целюліти, укуси тварин, тяжкі дентоальвеолярні абсцеси з поширеним целюлітом; інфекції кісток та суглобів, у т. ч. остеомієліти. Таблетки 500 мг/125 мг, вкриті плівковою оболонкою Лікування бактеріальних інфекцій, спричинених чутливими до препарату мікроорганізмами, таких як: гострий бактеріальний синусит; гострий середній отит; підтверджене загострення хронічного бронхіту; негоспітальна пневмонія; цистити; пієлонефрити; інфекції шкіри та м’яких тканин, у т. ч. целюліти, укуси тварин, тяжкі дентоальвеолярні абсцеси з поширеним целюлітом; інфекції кісток та суглобів, у т. ч. остеомієліти. Таблетки 875 мг/125 мг, вкриті плівковою оболонкою Лікування бактеріальних інфекцій у дорослих та дітей, спричинених чутливими до препарату мікроорганізмами, таких як: гострий бактеріальний синусит; гострий середній отит; підтверджене загострення хронічного бронхіту; негоспітальна пневмонія; цистити; пієлонефрити; інфекції шкіри та м’яких тканин, у т. ч. целюліти, укуси тварин, тяжкі дентоальвеолярні абсцеси з поширеним целюлітом; інфекції кісток та суглобів, у т. ч. остеомієліти. Підвищена чутливість до активних речовин, до будь-якого препарату з групи пеніцилінів або до будь-якої допоміжної речовини. Тяжка реакція підвищеної чутливості негайного типу (наприклад анафілаксія) в анамнезі на інший β-лактамний препарат (наприклад цефалоспорин, карбапенем або монобактам). Жовтяниця/порушення функції печінки внаслідок прийому амоксициліну та клавуланової кислоти в анамнезі"
Абипим (Abypim),"Дорослі. Інфекції, спричинені чутливою до препарату мікрофлорою: інфекції дихальних шляхів, у тому числі пневмонія, бронхіт; інфекції шкіри та підшкірної клітковини; інтраабдомінальні інфекції, у тому числі перитоніт та інфекції жовчовивідних шляхів; гінекологічні інфекції; септицемія. Емпірична терапія хворих із нейтропенічною гарячкою. Профілактика післяопераційних ускладнень в інтраабдомінальній хірургії. Дорослі. Інфекції, спричинені чутливою до препарату мікрофлорою: інфекції дихальних шляхів, у тому числі пневмонія, бронхіт; інфекції шкіри та підшкірної клітковини; інтраабдомінальні інфекції, у тому числі перитоніт та інфекції жовчовивідних шляхів; гінекологічні інфекції; септицемія. Емпірична терапія хворих із нейтропенічною гарячкою. Профілактика післяопераційних ускладнень в інтраабдомінальній хірургії. Дорослі. Інфекції, спричинені чутливою до препарату мікрофлорою: інфекції дихальних шляхів, у тому числі пневмонія, бронхіт; інфекції шкіри та підшкірної клітковини; інтраабдомінальні інфекції, у тому числі перитоніт та інфекції жовчовивідних шляхів; гінекологічні інфекції; септицемія. Емпірична терапія хворих із нейтропенічною гарячкою. Профілактика післяопераційних ускладнень в інтраабдомінальній хірургії. Підвищена чутливість до цефепіму або L-аргініну, а також до антибіотиків цефалоспоринового класу, пеніцилінів або інших β-лактамних антибіотиків"
Абифлокс розчин для інфузій (Abiflox solution for infusion ),"Левофлоксацин, розчин для інфузій призначений для лікування таких інфекційних захворювань у дорослих: негоспітальна пневмонія; ускладнені інфекції шкіри та м’яких тканин (стосовно вищевказаних інфекційних захворювань левофлоксацин слід призначати лише у випадках недостатньої ефективності інших антибактеріальних лікарських засобів, які переважно застосовують для початкового лікування даних інфекцій); гострий пієлонефрит та ускладнені інфекції сечовивідних шляхів; хронічний бактеріальний простатит; легенева форма сибірської виразки: постконтактна профілактика та лікування. Слід враховувати офіційні рекомендації щодо належного застосування антибактеріальних засобів. Левофлоксацин, розчин для інфузій призначений для лікування таких інфекційних захворювань у дорослих: негоспітальна пневмонія; ускладнені інфекції шкіри та м’яких тканин (стосовно вищевказаних інфекційних захворювань левофлоксацин слід призначати лише у випадках недостатньої ефективності інших антибактеріальних лікарських засобів, які переважно застосовують для початкового лікування даних інфекцій); гострий пієлонефрит та ускладнені інфекції сечовивідних шляхів; хронічний бактеріальний простатит; легенева форма сибірської виразки: постконтактна профілактика та лікування. Слід враховувати офіційні рекомендації щодо належного застосування антибактеріальних засобів. Левофлоксацин, розчин для інфузій призначений для лікування таких інфекційних захворювань у дорослих: негоспітальна пневмонія; ускладнені інфекції шкіри та м’яких тканин (стосовно вищевказаних інфекційних захворювань левофлоксацин слід призначати лише у випадках недостатньої ефективності інших антибактеріальних лікарських засобів, які переважно застосовують для початкового лікування даних інфекцій); гострий пієлонефрит та ускладнені інфекції сечовивідних шляхів; хронічний бактеріальний простатит; легенева форма сибірської виразки: постконтактна профілактика та лікування. Слід враховувати офіційні рекомендації щодо належного застосування антибактеріальних засобів. Левофлоксацин не слід призначати в таких випадках: підвищена чутливість до левофлоксацину або до інших хінолонів чи до будь-яких інших компонентів лікарського засобу; з боку сухожиль після попереднього застосування хінолонів; епілепсія; дитячий вік (до 18 років); період вагітності або годування груддю"
Абифлокс таблетки (Abiflox tablets ),"Левофлоксацин показано для лікування у дорослих таких інфекцій, спричинених чутливими до левофлоксацину мікроорганізмами: гострий бактеріальний синусит; загострення хронічного обструктивного захворювання легень, включно із бронхітом; негоспітальна пневмонія; ускладнені інфекції шкіри і м’яких тканин; неускладнений цистит; (у разі лікування вищезазначених інфекцій препарат можна застосовувати лише тоді, коли застосування інших антибактеріальних засобів, які зазвичай призначають для початкового лікування даних інфекцій, неможливе); гострий пієлонефрит та ускладнені інфекції сечовивідного тракту; хронічний бактеріальний простатит; легенева форма сибірської виразки: постконтактна профілактика та лікування. Левофлоксацин у даній лікарській формі (таблетки) можна застосовувати для завершення курсу терапії пацієнтам, які продемонстрували поліпшення під час первинного лікування левофлоксацином, розчином для інфузій. Необхідно враховувати офіційні рекомендації щодо належного використання антибактеріальних засобів. Левофлоксацин показано для лікування у дорослих таких інфекцій, спричинених чутливими до левофлоксацину мікроорганізмами: гострий бактеріальний синусит; загострення хронічного обструктивного захворювання легень, включно із бронхітом; негоспітальна пневмонія; ускладнені інфекції шкіри і м’яких тканин; неускладнений цистит; (у разі лікування вищезазначених інфекцій препарат можна застосовувати лише тоді, коли застосування інших антибактеріальних засобів, які зазвичай призначають для початкового лікування даних інфекцій, неможливе); гострий пієлонефрит та ускладнені інфекції сечовивідного тракту; хронічний бактеріальний простатит; легенева форма сибірської виразки: постконтактна профілактика та лікування. Левофлоксацин у даній лікарській формі (таблетки) можна застосовувати для завершення курсу терапії пацієнтам, які продемонстрували поліпшення під час первинного лікування левофлоксацином, розчином для інфузій. Необхідно враховувати офіційні рекомендації щодо належного використання антибактеріальних засобів. Левофлоксацин показано для лікування у дорослих таких інфекцій, спричинених чутливими до левофлоксацину мікроорганізмами: гострий бактеріальний синусит; загострення хронічного обструктивного захворювання легень, включно із бронхітом; негоспітальна пневмонія; ускладнені інфекції шкіри і м’яких тканин; неускладнений цистит; (у разі лікування вищезазначених інфекцій препарат можна застосовувати лише тоді, коли застосування інших антибактеріальних засобів, які зазвичай призначають для початкового лікування даних інфекцій, неможливе); гострий пієлонефрит та ускладнені інфекції сечовивідного тракту; хронічний бактеріальний простатит; легенева форма сибірської виразки: постконтактна профілактика та лікування. Левофлоксацин у даній лікарській формі (таблетки) можна застосовувати для завершення курсу терапії пацієнтам, які продемонстрували поліпшення під час первинного лікування левофлоксацином, розчином для інфузій. Необхідно враховувати офіційні рекомендації щодо належного використання антибактеріальних засобів. Підвищена чутливість до левофлоксацину, інших фторхінолонів або до будь-якого компонента препарату; епілепсія; ушкодження сухожиль після попереднього застосування фторхінолонів; дитячий вік; період вагітності або годування груддю"
Абізол (Abizol),"Дорослі. Лікування шизофренії. Лікування помірних та тяжких маніакальних епізодів біполярного розладу І типу. Профілактика нових маніакальних епізодів у пацієнтів, які вже перенесли ці епізоди та які піддавалися лікуванню арипіпразолом. Дорослі. Лікування шизофренії. Лікування помірних та тяжких маніакальних епізодів біполярного розладу І типу. Профілактика нових маніакальних епізодів у пацієнтів, які вже перенесли ці епізоди та які піддавалися лікуванню арипіпразолом. Дорослі. Лікування шизофренії. Лікування помірних та тяжких маніакальних епізодів біполярного розладу І типу. Профілактика нових маніакальних епізодів у пацієнтів, які вже перенесли ці епізоди та які піддавалися лікуванню арипіпразолом. Підвищена чутливість до арипіпразолу або до будь-якого іншого компонента, що входить до складу препарату. Фенілкетонурія"
