Назва препарату,Лікарська форма,Фармакотерапевтична група,Показання_clean
Акард (Acard),"Таблетки кишковорозчинні. Основні фізико-хімічні властивості: круглі, білого кольору таблетки, вкриті оболонкою, двоопуклі. Таблетки кишковорозчинні. Основні фізико-хімічні властивості: круглі, білого кольору таблетки, вкриті оболонкою, двоопуклі. Таблетки кишковорозчинні. Основні фізико-хімічні властивості: круглі, білого кольору таблетки, вкриті оболонкою, двоопуклі. Фармакотерапевтична група Антитромботичні засоби. Інгібітори агрегації тромбоцитів, за винятком гепарину. Код АТХ B01A C06.","Антитромботичні засоби. Інгібітори агрегації тромбоцитів, за винятком гепарину. Код АТХ B01A C06. Антитромботичні засоби. Інгібітори агрегації тромбоцитів, за винятком гепарину. Код АТХ B01A C06. Антитромботичні засоби. Інгібітори агрегації тромбоцитів, за винятком гепарину. Код АТХ B01A C06. Фармакологічні властивості Фармакодинаміка. Акард містить ацетильне похідне саліцилової кислоти з антиагрегантною, жарознижувальною, аналгетичною та протизапальною дією. Механізм пригнічення агрегації тромбоцитів ацетилсаліциловою кислотою полягає у незворотній інактивації у тромбоцитах крові ферменту циклооксигенази-1, яка трансформує арахідонову кислоту до циклічних перекисів (PGG 2 і PGH 2 ), що є попередниками тромбоцитарних простагландинів і тромбоксану (А2). Пригнічення агрегації настає вже після малих доз лікарського препарату і зберігається протягом декількох днів після застосування одноразової дози. Ці властивості ацетилсаліцилової кислоти були використані для профілактики та лікування ускладнень, пов’язаних із тромбами, а також для профілактики інфаркту міокарда та ішемічної хвороби серця. Акард таблетки, вкриті кишковорозчинною оболонкою, лікарська форма, яка не розчиняється у шлунку, через що знижується ризик безпосереднього контакту ацетилсаліцилової кислоти зі слизовою оболонкою шлунка. Розчинення таблетки та вивільнення діючої речовини відбуваються тільки у більш лужному середовищі дванадцятипалої кишки. Абсорбція ацетилсаліцилової кислоти з таблеток, вкритих кишковорозчинною оболонкою, перебігає повільніше порівняно зі стандартними формами. Вона починається через 3–6 годин після прийому лікарського препарату, що свідчить про те, що оболонка ефективно блокує розпад лікарського продукту у шлунку. Фармакокінетика. Максимальна концентрація у плазмі крові настає приблизно через 6 годин і становить у середньому 12,7 мкг/мл для таблеток 150 мг і 6,72 мкг/мл для таблеток 75 мг. Наявність їжі у шлунково-кишковому тракті уповільнює всмоктування лікарського засобу, але не зменшує біологічну доступність ацетилсаліцилової кислоти. Ацетилсаліцилова кислота всмоктується у шлунково-кишковому тракті на 80–100%. Ацетилсаліцилова кислота швидко і значною мірою розподіляється у більшості тканин і біологічних рідинах організму. Відносний об’єм розподілу становить близько 0,15–0,2 л/кг і збільшується відповідно до підвищення концентрації лікарського препарату в сироватці крові. Близько 33% лікарського препарату зв’язується з білками плазми, коли концентрація становить 120 мкг/мл. Ступінь зв’язування лікарського препарату з білками залежить від концентрації альбумінів; у здорових добровольців вона знижується відповідно до зниження цієї концентрації. При нирковій недостатності, при вагітності та у новонароджених зв’язування ацетилсаліцилової кислоти з білками плазми знижується не тільки з причини гіпоальбумінемії, але також внаслідок кумуляції ендогенних факторів, які витісняють препарат зі сполук із білками. Ацетилсаліцилова кислота частково біотрансформується під час абсорбції. Цей процес відбувається під впливом естерази, в основному у печінці, але також у сироватці крові, еритроцитах і в синовіальній рідині. Саліцилати в основному з’єднуються з гліцином з утворенням саліцилурової кислоти і з глюкуроновою кислотою з утворенням саліцил-фенолового і саліцил-ацилового глюкуронату; тільки невелика їх частина піддається гідроксилюванню до гентизинової кислоти, 2,3-дигідроксибензойної і 2,3,5-тригідроксибензойної кислот. У жінок процес гідроксилювання проходить повільніше (менша активність естерази в сироватці крові). Період напіввиведення у фазі елімінації ацетилсаліцилової кислоти з плазми становить близько 2–3 годин. На відміну від інших саліцилатів, негідролізована ацетилсаліцилова кислота не кумулюється в сироватці крові після багаторазового введення. Лише близько 1% дози ацетилсаліцилової кислоти, прийнятої внутрішньо, виводиться із сечею у негідролізованій формі, решта виводиться у формі саліцилатів та їх метаболітів. У хворих зі збереженою функцією нирок 80–100% одноразової дози лікарського засобу виводиться з сечею протягом 24–72 годин.","Для доз 75 мг та 150 мг: Гостра та хронічна ішемічна хвороба серця. Для дози 75 мг: Профілактика повторного тромбоутворення. Первинна профілактика тромбозів, серцево-судинних захворювань, таких як гострий коронарний синдром у пацієнтів віком від 50 років, у яких присутні фактори ризику розвитку захворювань серцево-судинної системи: артеріальна гіпертензія, гіперхолестеринемія, цукровий діабет, ожиріння (індекс маси тіла > 30), спадковий анамнез (інфаркт міокарда у пацієнтів віком до 55 років принаймні в одного з батьків або брата чи сестри). Для доз 75 мг та 150 мг: Гостра та хронічна ішемічна хвороба серця. Для дози 75 мг: Профілактика повторного тромбоутворення. Первинна профілактика тромбозів, серцево-судинних захворювань, таких як гострий коронарний синдром у пацієнтів віком від 50 років, у яких присутні фактори ризику розвитку захворювань серцево-судинної системи: артеріальна гіпертензія, гіперхолестеринемія, цукровий діабет, ожиріння (індекс маси тіла > 30), спадковий анамнез (інфаркт міокарда у пацієнтів віком до 55 років принаймні в одного з батьків або брата чи сестри). Для доз 75 мг та 150 мг: Гостра та хронічна ішемічна хвороба серця. Для дози 75 мг: Профілактика повторного тромбоутворення. Первинна профілактика тромбозів, серцево-судинних захворювань, таких як гострий коронарний синдром у пацієнтів віком від 50 років, у яких присутні фактори ризику розвитку захворювань серцево-судинної системи: артеріальна гіпертензія, гіперхолестеринемія, цукровий діабет, ожиріння (індекс маси тіла > 30), спадковий анамнез (інфаркт міокарда у пацієнтів віком до 55 років принаймні в одного з батьків або брата чи сестри). Гіперчутливість до ацетилсаліцилової кислоти, до інших саліцилатів або до будь-якого компонента препарату. Астма, спричинена застосуванням саліцилатів або речовин з подібною дією, особливо НПЗЗ, в анамнезі. Гострі пептичні виразки. Геморагічний діатез. Ниркова недостатність тяжкого ступеня. Печінкова недостатність тяжкого ступеня. Серцева недостатність тяжкого ступеня. Комбінація з метотрексатом у дозуванні 15 мг/тиждень або більше (див. « »). Застосування у дозуванні більше 100 мг/добу протягом третього триместру вагітності"
Аладин (Aladin ),,,"– артеріальна гіпертензія. – хронічна стабільна стенокардія. – вазоспастична стенокардія (стенокардія Принцметала). – артеріальна гіпертензія. – хронічна стабільна стенокардія. – вазоспастична стенокардія (стенокардія Принцметала). – артеріальна гіпертензія. – хронічна стабільна стенокардія. – вазоспастична стенокардія (стенокардія Принцметала). Застосування Аладин дорослі . Для лікування артеріальної гіпертензії та стенокардії звичайна початкова доза препарату Аладин становить 5 мг 1 раз на добу. Залежно від реакції пацієнта на терапію дозу можна збільшити до максимальної дози, що становить 10 мг 1 раз на добу. Пацієнтам зі стенокардією препарат можна застосовувати як монотерапію або у комбінації з іншими антиангінальними лікарськими засобами при резистентності до нітратів та/або адекватних доз бета-блокаторів. Є досвід застосування препарату у комбінації з тіазидними діуретиками, альфа-блокаторами, бета-блокаторами або інгібіторами ангіотензинперетворювального ферменту пацієнтам з артеріальною гіпертензією. Немає необхідності у підборі дози препарату при одночасному застосуванні з тіазидними діуретиками, бета-блокаторами та інгібіторами ангіотензинперетворювального ферменту. Діти віком від 6 років з артеріальною гіпертензією. Рекомендована початкова доза препарату Аладин для цієї категорії пацієнтів становить 2,5 мг 1 раз на добу (застосовувати препарати амлодипіну у відповідному дозуванні). Якщо необхідний рівень артеріального тиску не буде досягнутий протягом 4 тижнів, дозу можна збільшити до 5 мг на добу. Застосування препарату у дозах вище 5 мг для даної категорії пацієнтів не досліджувалось. Пацієнти літнього віку . Немає необхідності у підборі дози для даної категорії пацієнтів. Підвищення дози слід проводити з обережністю. Пацієнти з порушенням функції нирок . Рекомендується застосовувати звичайні дози препарату, оскільки зміни концентрації амлодипіну у плазмі крові не пов’язані зі ступенем тяжкості ниркової недостатності. Амлодипін не виводиться шляхом діалізу. Пацієнти з печінковою недостатністю . Дози препарату для застосування пацієнтам з печінковою недостатністю від легкого до помірного ступеня тяжкості не встановлені, тому підбір дози слід проводити з обережністю та починати застосування із найнижчої дози ( . Фармакокінетика»). Фармакокінетику амлодипіну не досліджували у пацієнтів із порушенням функції печінки тяжкого ступеня. Для пацієнтів із порушенням функції печінки тяжкого ступеня застосування амлодипіну слід починати з найнижчої дози та поступово її збільшувати. Діти . Препарат застосовувати дітям віком від 6 років. Вплив амлодипіну на артеріальний тиск пацієнтів віком до 6 років невідомий"
Алое екстракт (ALOES EXTRACTUM),"Екстракт рідкий для ін'єкцій. Основні фізико-хімічні властивості : рідина від світло-жовтого до жовто-коричневого кольору, зі специфічним запахом; допускається наявність зависі, яка при зберіганні випадає в осад; при струшуванні ампули осад переходить у рівномірну завись. Екстракт рідкий для ін'єкцій. Основні фізико-хімічні властивості : рідина від світло-жовтого до жовто-коричневого кольору, зі специфічним запахом; допускається наявність зависі, яка при зберіганні випадає в осад; при струшуванні ампули осад переходить у рівномірну завись. Екстракт рідкий для ін'єкцій. Основні фізико-хімічні властивості : рідина від світло-жовтого до жовто-коричневого кольору, зі специфічним запахом; допускається наявність зависі, яка при зберіганні випадає в осад; при струшуванні ампули осад переходить у рівномірну завись. Фармакотерапевтична група Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х.","Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х. Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х. Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х. Фармакологічні властивості Фармакодинаміка. Стимулює обмін речовин, прискорює процеси регенерації, чинить адаптогенну та загальнотонізуючу дії. Поліпшує клітинний метаболізм, трофіку та регенерацію тканин, підвищує загальну неспецифічну резистентність організму та стійкість слизових оболонок до дії ушкоджуючих агентів. Стимулює захисні функції гранулоцитів, підвищує апетит. Підвищує енергетичні запаси у сперматозоїдах та підсилює їхню рухливість. Фармакокінетика . Не вивчалась.","Прогресуюча короткозорість, міопічний хоріоретиніт, блефарит, кон’юнктивіт, кератит, ірит, помутніння склоподібного тіла, а також виразкова хвороба шлунка та дванадцятипалої кишки (у складі комплексної терапії). Прогресуюча короткозорість, міопічний хоріоретиніт, блефарит, кон’юнктивіт, кератит, ірит, помутніння склоподібного тіла, а також виразкова хвороба шлунка та дванадцятипалої кишки (у складі комплексної терапії). Прогресуюча короткозорість, міопічний хоріоретиніт, блефарит, кон’юнктивіт, кератит, ірит, помутніння склоподібного тіла, а також виразкова хвороба шлунка та дванадцятипалої кишки (у складі комплексної терапії). Підвищена чутливість до лікарського засобу. Тяжкі серцево-судинні захворювання, артеріальна гіпертензія, гострі шлунково-кишкові розлади (в тому числі діарея), порушення прохідності кишечнику (обструкція або стеноз), запальні захворювання кишечнику (хвороба Крона, виразковий коліт), апендицит, біль у животі нез’ясованого генезу, геморой, порушення функції печінки, нирок, ускладнені форми нефрозо-нефриту, дифузний гломерулонефрит, цистит, метрорагія, кровохаркання, холелітіаз, тяжкий стан дегідратації з втратою води та електролітів. Вагітність і період годування груддю. Діти до 3 років"
Алое екстракт рідкий (Aloes extractum fluidum),"Екстракт рідкий для ін’єкцій. Основні фізико-хімічні властивості: рідина від світло-жовтого до коричнювато-жовтого кольору зі слабким специфічним запахом. Екстракт рідкий для ін’єкцій. Основні фізико-хімічні властивості: рідина від світло-жовтого до коричнювато-жовтого кольору зі слабким специфічним запахом. Екстракт рідкий для ін’єкцій. Основні фізико-хімічні властивості: рідина від світло-жовтого до коричнювато-жовтого кольору зі слабким специфічним запахом. Фармакотерапевтична група Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х.","Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х. Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х. Засоби, що впливають на систему травлення та метаболічні процеси. Код АТХ А16А Х. Фармакологічні властивості Фармакодинаміка. Біогенний стимулятор. Чинить адаптогенну та загальнотонізуючу дії. Поліпшує клітинний метаболізм, трофіку та регенерацію тканин, підвищує загальну неспецифічну резистентність організму та стійкість слизових оболонок до дії пошкоджувальних агентів, прискорює процеси регенерації. Стимулює захисні функції гранулоцитів, підвищує апетит. Підвищує енергетичні запаси у сперматозоїдах та підсилює їхню рухливість. Фармакокінетика. Не вивчалася.","Прогресуюча короткозорість, міопічний хоріоретиніт, блефарит, кон’юнктивіт, кератит, ірит, помутніння склистого тіла, а також виразкова хвороба шлунка та дванадцятипалої кишки (у складі комплексної терапії). Прогресуюча короткозорість, міопічний хоріоретиніт, блефарит, кон’юнктивіт, кератит, ірит, помутніння склистого тіла, а також виразкова хвороба шлунка та дванадцятипалої кишки (у складі комплексної терапії). Прогресуюча короткозорість, міопічний хоріоретиніт, блефарит, кон’юнктивіт, кератит, ірит, помутніння склистого тіла, а також виразкова хвороба шлунка та дванадцятипалої кишки (у складі комплексної терапії). Підвищена чутливість до лікарського засобу. Тяжкі серцево-судинні захворювання, артеріальна гіпертензія, гострі шлунково-кишкові розлади (в тому числі діарея), порушення прохідності кишечнику (обструкція або стеноз), запальні захворювання кишечнику (хвороба Крона, виразковий коліт), апендицит, біль у животі нез’ясованого генезу, геморой, порушення функції печінки, нирок, ускладнені форми нефрозо-нефриту, дифузний гломерулонефрит, цистит, метрорагія, кровохаркання, холелітіаз, тяжкий стан дегідратації з втратою води та електролітів. Вагітність і період годування груддю. Дитячий вік до 3 років"
Амінаргін,Розчин для інфузій. Основні фізико-хімічні властивості: прозорий безбарвний або злегка жовтувато-коричневий розчин. Теоретична осмолярність 398 мОсм/л. ­­­­ Розчин для інфузій. Основні фізико-хімічні властивості: прозорий безбарвний або злегка жовтувато-коричневий розчин. Теоретична осмолярність 398 мОсм/л. ­­­­ Розчин для інфузій. Основні фізико-хімічні властивості: прозорий безбарвний або злегка жовтувато-коричневий розчин. Теоретична осмолярність 398 мОсм/л. ­­­­ Фармакотерапевтична група Кровозамінники та перфузійні розчини. Додаткові розчини для внутрішньовенного введення. Амiнокислоти. Аргініну гідрохлорид. Код АТХ B05X B01.,"Кровозамінники та перфузійні розчини. Додаткові розчини для внутрішньовенного введення. Амiнокислоти. Аргініну гідрохлорид. Код АТХ B05X B01. Кровозамінники та перфузійні розчини. Додаткові розчини для внутрішньовенного введення. Амiнокислоти. Аргініну гідрохлорид. Код АТХ B05X B01. Кровозамінники та перфузійні розчини. Додаткові розчини для внутрішньовенного введення. Амiнокислоти. Аргініну гідрохлорид. Код АТХ B05X B01. Фармакологічні властивості Фармакодинаміка. Аргінін (a-аміно-d-гуанідиновалеріанова кислота) — амінокислота, яка належить до класу умовно незамінних амінокислот і є активним і різнобічним клітинним регулятором чисельних життєво важливих функцій організму, проявляє важливі в критичному стані організму протекторні ефекти. Аргінін проявляє антигіпоксичну, мембраностабілізуючу, цитопротекторну, антиоксидантну, антирадикальну, дезінтоксикаційну активність, проявляє себе як активний регулятор проміжного обміну і процесів енергозабезпечення, відіграє певну роль у підтриманні гормонального балансу в організмі. Відомо, що аргінін збільшує вміст у крові інсуліну, глюкагону, соматотропного гормону і пролактину, бере участь у синтезі проліну, поліаміну, агматину, включається у процеси фібриногенолізу, сперматогенезу, чинить мембранодеполяризуючу дію. Аргінін є одним з основних субстратів у циклі синтезу сечовини у печінці. Гіпоамоніємічний ефект лікарського засобу реалізується шляхом активації перетворення аміаку в сечовину. Чинить гепатопротекторну дію завдяки антиоксидантній, антигіпоксичній і мембраностабілізуючій активності, позитивно впливає на процеси енергозабезпечення у гепатоцитах. Аргінін є субстратом для NО-синтази — ферменту, що каталізує синтез оксиду азоту в ендотеліоцитах. Лікарський засіб активує гуанілатциклазу і підвищує рівень циклічного гуанідинмонофосфату (цГМФ) в ендотелії судин, зменшує активацію та адгезію лейкоцитів і тромбоцитів до ендотелію судин, пригнічує синтез протеїнів адгезії VCAM-1 і MCP-1, запобігаючи таким чином утворенню і розвитку атеросклеротичних бляшок, пригнічує синтез ендотеліну-1, який є потужним вазоконстриктором і стимулятором проліферації і міграції гладких міоцитів судинної стінки. Аргінін пригнічує також синтез асиметричного диметиларгініну — потужного ендогенного стимулятора оксидативного стресу. Лікарський засіб стимулює діяльність вилочкової залози, що продукує Т-клітини, регулює вміст глюкози в крові під час фізичного навантаження. Чинить кислотоутворювальну дію і сприяє корекції кислотно-лужної рівноваги. Фармакокінетика. При безперервній внутрішньовенній інфузії максимальна концентрація аргініну гідрохлориду у плазмі крові спостерігається через 20–30 хвилин від початку введення. Аргінін проникає через плацентарний бар’єр, фільтрується у ниркових клубочках, однак практично повністю реабсорбується у ниркових канальцях.","Метаболічний алкалоз, гіперамоніємія, атеросклероз судин серця і головного мозку, атеросклероз периферичних судин, у тому числі із проявами переміжної кульгавості, діабетична ангіопатія, артеріальна гіпертензія, хронічна серцева недостатність, гіперхолестеринемія, хронічні обструктивні захворювання легень, легенева гіпертензія, затримка розвитку плода і прееклампсія — у складі комплексної терапії. Метаболічний алкалоз, гіперамоніємія, атеросклероз судин серця і головного мозку, атеросклероз периферичних судин, у тому числі із проявами переміжної кульгавості, діабетична ангіопатія, артеріальна гіпертензія, хронічна серцева недостатність, гіперхолестеринемія, хронічні обструктивні захворювання легень, легенева гіпертензія, затримка розвитку плода і прееклампсія — у складі комплексної терапії. Метаболічний алкалоз, гіперамоніємія, атеросклероз судин серця і головного мозку, атеросклероз периферичних судин, у тому числі із проявами переміжної кульгавості, діабетична ангіопатія, артеріальна гіпертензія, хронічна серцева недостатність, гіперхолестеринемія, хронічні обструктивні захворювання легень, легенева гіпертензія, затримка розвитку плода і прееклампсія — у складі комплексної терапії. Підвищена чутливість до лікарського засобу. Тяжкі порушення функції нирок, гіперхлоремічний ацидоз; алергічні реакції в анамнезі; застосування калійзберігаючих діуретиків, а також спіронолактону. Інфаркт міокарда (у тому числі в анамнезі)"
Амлесса (Amlessa),"Таблетки. Основні фізико-хімічні властивості: 4 мг/5 мг: білі або майже білі, круглі, трохи двоопуклі таблетки зі скошеними краями; 4 мг/10 мг: білі або майже білі, у формі капсули, двоопуклі, з насічкою з одного боку таблетки; 8 мг/5 мг: білі або майже білі, круглі, двоопуклі таблетки зі скошеними краями; 8 мг/10 мг: білі або майже білі, круглі, двоопуклі зі скошеними краями таблетки з рискою з одного боку. Таблетки. Основні фізико-хімічні властивості: 4 мг/5 мг: білі або майже білі, круглі, трохи двоопуклі таблетки зі скошеними краями; 4 мг/10 мг: білі або майже білі, у формі капсули, двоопуклі, з насічкою з одного боку таблетки; 8 мг/5 мг: білі або майже білі, круглі, двоопуклі таблетки зі скошеними краями; 8 мг/10 мг: білі або майже білі, круглі, двоопуклі зі скошеними краями таблетки з рискою з одного боку. Таблетки. Основні фізико-хімічні властивості: 4 мг/5 мг: білі або майже білі, круглі, трохи двоопуклі таблетки зі скошеними краями; 4 мг/10 мг: білі або майже білі, у формі капсули, двоопуклі, з насічкою з одного боку таблетки; 8 мг/5 мг: білі або майже білі, круглі, двоопуклі таблетки зі скошеними краями; 8 мг/10 мг: білі або майже білі, круглі, двоопуклі зі скошеними краями таблетки з рискою з одного боку. Фармакотерапевтична група Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04.","Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04. Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04. Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04. Фармакологічні властивості Фармакодинаміка . Швидкість та ступінь всмоктування периндоприлу та амлодипіну як монопрепаратів у складі препарату Амлесса суттєво не відрізняються. Периндоприл Периндоприл є інгібітором ангіотензинперетворювального ферменту (АПФ), який перетворює АПФ. Перетворювальний фермент, або кіназа, є екзопептидазою, яка дає змогу перетворювати ангіотензин I на ангіотензин II, а також спричиняє розпад вазодилататорного агента брадикініну з утворенням неактивного гептапептиду. Гальмування активності АПФ призводить до зменшення концентрації ангіотензину II у плазмі крові, що супроводжується збільшенням активності реніну у плазмі (шляхом інгібування негативної оцінки вивільнення реніну) і зменшенням секреції альдостерону. Оскільки АПФ блокує брадикінін, гальмування активності цього ферменту призводить до збільшення активності циркулюючої та локальної калікреїн-кінінової системи і, тим самим, — до активації системи простагландинів. Такий механізм сприяє дії інгібіторів АПФ щодо зниження артеріального тиску і частково відповідає за появу деяких побічних ефектів (наприклад кашлю). Периндоприл в організмі перетворюється на активний метаболіт — периндоприлат. Інші метаболіти не демонструють гальмування активності АПФ in vitro. Амлодипін Амлодипін — антагоніст іонів кальцію, який блокує надходження іонів кальцію крізь мембрани до клітин гладких м’язів міокарда та судин. Механізм гіпотензивної дії амлодипіну зумовлений безпосереднім впливом на гладкі м’язи судин. Точний механізм дії амлодипіну при стенокардії не встановлений, але відомо, що амлодипін зменшує ішемію міокарда двома шляхами. Амлодипін розширює периферичні артеріоли і таким чином знижує загальний периферичний опір (постнавантаження), проти якого працює серце. Зниження навантаження на серце призводить до зниження споживання енергії та потреби міокарда в кисні. Механізм дії амлодипіну також, можливо, залучає розширення основних коронарних артерій та коронарних артеріол. Таке розширення збільшує постачання кисню до міокарда у пацієнтів зі стенокардією Принцметала. У пацієнтів з артеріальною гіпертензією дозування 1 раз на добу забезпечує клінічно значуще зниження артеріального тиску (як у положенні стоячи, так і лежачи) протягом усього 24-годинного інтервалу. У пацієнтів зі стенокардією прийом амлодипіну 1 раз на добу подовжує загальний активний час, час до початку стенокардії та час до депресії 1 мм сегмента ST. Амлодипін знижує частоту стенокардії та зменшує необхідність прийому таблеток нітрогліцерину. Фармакокінетика. Периндоприл Після перорального прийому периндоприл швидко всмоктується, максимальна концентрація у плазмі крові (С max ) досягається протягом 1 години. Період напіввиведення (t 1/2 ) периндоприлу з плазми крові становить 1 годину. Периндоприл являє собою проліки. 27% від прийнятої дози периндоприлу потрапляє у кровотік у вигляді активного метаболіту периндоприлату. Крім активного периндоприлату периндоприл утворює ще 5 неактивних метаболітів. С max периндоприлату у плазмі крові досягається через 3–4 години. Оскільки вживання їжі зменшує перетворення периндоприлу на периндоприлат, а отже, зменшується і його біодоступність, то периндоприлу терт-бутиламін рекомендується приймати перорально в одноразовій добовій дозі вранці перед прийомом їжі. Існує лінійний взаємозв’язок між дозою периндоприлу та його концентрацією у плазмі крові. Об’єм розподілу незв’язаного периндоприлату становить приблизно 0,2 л/кг. Зв’язування периндоприлату з білками плазми становить 20%, в основному, з АПФ, але є дозозалежним. Периндоприлат виводиться із сечею, період остаточного напіввиведення незв’язаного периндоприлату становить приблизно 17 годин. Стан рівноваги досягається через 4 доби. Виведення периндоприлату зменшується у пацієнтів літнього віку та у пацієнтів із серцевою або нирковою недостатністю. Тому необхідно регулярно проводити моніторинг рівня калію та креатиніну. Діалізний кліренс периндоприлату становить 70 мл/хв. Кінетика периндоприлу змінюється у хворих на цироз печінки: печінковий кліренс основної молекули зменшується вдвічі. Однак кількість периндоприлату, що утворюється, не зменшується. Отже, таким хворим не потрібно коригувати дозу. Амлодипін Після перорального прийому в терапевтичних дозах амлодипін добре всмоктується і досягає С max через 6–12 годин після прийому. Абсолютна біодоступність становить від 64 до 80%. Об’єм розподілу становить приблизно 21 л/кг. Вживання їжі не впливає на біодоступність амлодипіну. Дослідження in vitro показали, що приблизно 97,5% циркулюючого амлодипіну зв’язується з білками плазми крові. T 1/2 становить приблизно 35–50 годин, що дозволяє призначати препарат 1 раз на добу. Амлодипін метаболізується у печінці з утворенням неактивних метаболітів. 60% від прийнятої дози виводиться із сечею, а 10% препарату — у незміненому вигляді. Застосування пацієнтам літнього віку. Час, необхідний для досягнення С max амлодипіну, однаковий як у пацієнтів літнього віку, так і у молодших пацієнтів. У людей літнього віку спостерігається тенденція до зниження кліренсу амлодипіну, що призводить до збільшення AUC (площі під кривою «концентрація/ час») та t 1/2 . Рекомендований режим дозування для пацієнтів літнього віку є аналогічним, однак збільшення дози слід проводити з обережністю. Застосування пацієнтам із нирковою недостатністю (див. розділ «Спосіб застосування та дози»). Застосування пацієнтам із порушенням функції печінки. T 1/2 амлодипіну, як і всіх антагоністів кальцію, збільшується у пацієнтів із порушеннями функції печінки.","Артеріальна гіпертензія та/або ішемічна хвороба серця (якщо необхідне лікування периндоприлом та амлодипіном). Артеріальна гіпертензія та/або ішемічна хвороба серця (якщо необхідне лікування периндоприлом та амлодипіном). Артеріальна гіпертензія та/або ішемічна хвороба серця (якщо необхідне лікування периндоприлом та амлодипіном). Підвищена чутливість до периндоприлу (або до будь-яких інших інгібіторів АПФ), до амлодипіну (або до інших дигідропіридинів) або до будь-якої допоміжної речовини препарату; ангіоневротичний набряк в анамнезі після застосування будь-яких інгібіторів АПФ; ідіопатичний або спадковий ангіоневротичний набряк; тяжка артеріальна гіпотензія; шок, включаючи кардіогенний шок; обструкція вихідного тракту лівого шлуночка (наприклад виражений стеноз аорти); нестабільна стенокардія; серцева недостатність після гострого інфаркту міокарда (протягом перших 28 днів); другий і третій триместри вагітності ( ; одночасне застосування з препаратами, що містять діючу речовину аліскірен, пацієнтам, хворим на цукровий діабет, або пацієнтам з нирковою недостатністю (швидкість клубочкової фільтрації < 60 мл/хв/1,73 м 2 ) ( ; супутнє застосування з комбінацією сакубітрил/валсартан. Терапію периндоприлом можна починати не раніше ніж через 36 годин після останнього прийому комбінації сакубітрил/валсартан ( ; екстракорпоральні методи лікування, що призводять до контакту крові з негативно зарядженими поверхнями ( ; значний двосторонній стеноз ниркової артерії або стеноз артерії до єдиної функціонуючої нирки ("
