Назва препарату,Лікарська форма,Фармакотерапевтична група,Показання_clean
Аевіт (Aevit),,,"АЕвіт показано застосовувати з лікувальною метою при захворюваннях і станах, що потребують тривалого введення високих доз вітаміну А в поєднанні з вітаміном Е: атеросклеротичних змінах судин, порушенні трофіки тканин, облітеруючому ендартеріїті, псоріазі, системному червоному вовчаку, атрофії зорового нерва, пігментному ретиніті, у складі комплексної терапії дерматитів та вугрової хвороби; у комплексній терапії серцево-судинних захворювань (гіпертонічна хвороба з ознаками перенавантаження лівого шлуночка, стабільна стенокардія напруження І та ІІ функціональних класів). АЕвіт показано застосовувати з лікувальною метою при захворюваннях і станах, що потребують тривалого введення високих доз вітаміну А в поєднанні з вітаміном Е: атеросклеротичних змінах судин, порушенні трофіки тканин, облітеруючому ендартеріїті, псоріазі, системному червоному вовчаку, атрофії зорового нерва, пігментному ретиніті, у складі комплексної терапії дерматитів та вугрової хвороби; у комплексній терапії серцево-судинних захворювань (гіпертонічна хвороба з ознаками перенавантаження лівого шлуночка, стабільна стенокардія напруження І та ІІ функціональних класів). АЕвіт показано застосовувати з лікувальною метою при захворюваннях і станах, що потребують тривалого введення високих доз вітаміну А в поєднанні з вітаміном Е: атеросклеротичних змінах судин, порушенні трофіки тканин, облітеруючому ендартеріїті, псоріазі, системному червоному вовчаку, атрофії зорового нерва, пігментному ретиніті, у складі комплексної терапії дерматитів та вугрової хвороби; у комплексній терапії серцево-судинних захворювань (гіпертонічна хвороба з ознаками перенавантаження лівого шлуночка, стабільна стенокардія напруження І та ІІ функціональних класів). Застосування Аевіт застосовувати внутрішньо після їди щодня по 1 капсулі на добу протягом 30–40 днів. Повторний курс проводити при необхідності через 3–6 міс. Діти . Лікарський засіб не застосовувати дітям"
Азомекс (Asomex),,,"– АГ. – Хронічна стабільна стенокардія. – Вазоспастична стенокардія (стенокардія Принцметала). – АГ. – Хронічна стабільна стенокардія. – Вазоспастична стенокардія (стенокардія Принцметала). – АГ. – Хронічна стабільна стенокардія. – Вазоспастична стенокардія (стенокардія Принцметала). Застосування Азомекс дорослі . При АГ і стенокардії звичайна початкова доза Азомексу становить 2,5 мг 1 раз на добу; за необхідності цю дозу можна підвищити до 5 мг 1 раз на добу, залежно від індивідуальної реакції хворого. Є досвід застосування препарату у комбінації з тіазидними діуретиками, блокаторами α-, β-адренорецепторів або інгібіторами АПФ у пацієнтів з АГ. Пацієнтам зі стенокардією препарат можна приймати як монотерапію або у комбінації з іншими антиангінальними лікарськими засобами при резистентності до нітратів та/або адекватних доз блокаторів β-адренорецепторів. Немає необхідності у підборі дози препарату при одночасному застосуванні з тіазидними діуретиками, блокаторами β-адренорецепторів та інгібіторами АПФ. Особливі групи пацієнтів Пацієнти літнього віку . Немає необхідності у підборі дози для цієї категорії пацієнтів. Підвищення дози слід проводити з обережністю. Пацієнти з порушенням функції печінки . Дози препарату для застосування у пацієнтів з порушенням функції печінки від легкого до помірного ступеня не встановлені, тому підбір дози слід проводити з обережністю та починати застосування препарату із найнижчої дози в діапазоні доз (див. і Фармакокінетика ). Фармакокінетику амлодипіну не досліджували у пацієнтів із порушенням функції печінки тяжкого ступеня. Для пацієнтів із порушенням функції печінки тяжкого ступеня застосування амлодипіну слід починати із найнижчої дози та поступово її підвищувати. Пацієнти з порушенням функції нирок . Рекомендується застосовувати звичайні дози препарату, оскільки зміни концентрації амлодипіну у плазмі крові не пов’язані зі ступенем тяжкості ниркової недостатності. Амлодипін не виводиться шляхом діалізу"
Аладин (Aladin ),,,"– артеріальна гіпертензія. – хронічна стабільна стенокардія. – вазоспастична стенокардія (стенокардія Принцметала). – артеріальна гіпертензія. – хронічна стабільна стенокардія. – вазоспастична стенокардія (стенокардія Принцметала). – артеріальна гіпертензія. – хронічна стабільна стенокардія. – вазоспастична стенокардія (стенокардія Принцметала). Застосування Аладин дорослі . Для лікування артеріальної гіпертензії та стенокардії звичайна початкова доза препарату Аладин становить 5 мг 1 раз на добу. Залежно від реакції пацієнта на терапію дозу можна збільшити до максимальної дози, що становить 10 мг 1 раз на добу. Пацієнтам зі стенокардією препарат можна застосовувати як монотерапію або у комбінації з іншими антиангінальними лікарськими засобами при резистентності до нітратів та/або адекватних доз бета-блокаторів. Є досвід застосування препарату у комбінації з тіазидними діуретиками, альфа-блокаторами, бета-блокаторами або інгібіторами ангіотензинперетворювального ферменту пацієнтам з артеріальною гіпертензією. Немає необхідності у підборі дози препарату при одночасному застосуванні з тіазидними діуретиками, бета-блокаторами та інгібіторами ангіотензинперетворювального ферменту. Діти віком від 6 років з артеріальною гіпертензією. Рекомендована початкова доза препарату Аладин для цієї категорії пацієнтів становить 2,5 мг 1 раз на добу (застосовувати препарати амлодипіну у відповідному дозуванні). Якщо необхідний рівень артеріального тиску не буде досягнутий протягом 4 тижнів, дозу можна збільшити до 5 мг на добу. Застосування препарату у дозах вище 5 мг для даної категорії пацієнтів не досліджувалось. Пацієнти літнього віку . Немає необхідності у підборі дози для даної категорії пацієнтів. Підвищення дози слід проводити з обережністю. Пацієнти з порушенням функції нирок . Рекомендується застосовувати звичайні дози препарату, оскільки зміни концентрації амлодипіну у плазмі крові не пов’язані зі ступенем тяжкості ниркової недостатності. Амлодипін не виводиться шляхом діалізу. Пацієнти з печінковою недостатністю . Дози препарату для застосування пацієнтам з печінковою недостатністю від легкого до помірного ступеня тяжкості не встановлені, тому підбір дози слід проводити з обережністю та починати застосування із найнижчої дози ( . Фармакокінетика»). Фармакокінетику амлодипіну не досліджували у пацієнтів із порушенням функції печінки тяжкого ступеня. Для пацієнтів із порушенням функції печінки тяжкого ступеня застосування амлодипіну слід починати з найнижчої дози та поступово її збільшувати. Діти . Препарат застосовувати дітям віком від 6 років. Вплив амлодипіну на артеріальний тиск пацієнтів віком до 6 років невідомий"
Алотендин (Alotendin ),,,"АГ, як монотерапія або у комбінації з іншими антигіпертензивними засобами. Хронічна стабільна стенокардія, як монотерапія або в комбінації з іншими антиангінальними засобами. Як замісна терапія у пацієнтів, у яких АТ та/або хронічна стабільна стенокардія адекватно контролюється одночасним застосуванням амлодипіну і бісопрололу у тих самих дозуваннях. АГ, як монотерапія або у комбінації з іншими антигіпертензивними засобами. Хронічна стабільна стенокардія, як монотерапія або в комбінації з іншими антиангінальними засобами. Як замісна терапія у пацієнтів, у яких АТ та/або хронічна стабільна стенокардія адекватно контролюється одночасним застосуванням амлодипіну і бісопрололу у тих самих дозуваннях. АГ, як монотерапія або у комбінації з іншими антигіпертензивними засобами. Хронічна стабільна стенокардія, як монотерапія або в комбінації з іншими антиангінальними засобами. Як замісна терапія у пацієнтів, у яких АТ та/або хронічна стабільна стенокардія адекватно контролюється одночасним застосуванням амлодипіну і бісопрололу у тих самих дозуваннях. Застосування Алотендин рекомендована добова доза становить 1 таблетку відповідного дозування, бажано препарат приймати вранці незалежно від прийому їжі, не розжовуючи. Максимальна добова доза — 1 таблетка Алотендину 10 мг/10 мг/добу. Діапазон дозування препарату дозволяє гнучко підібрати співвідношення компонентів залежно від клінічних потреб. Лікування не слід припиняти раптово, тому що це може призвести до тимчасового погіршення клінічного стану. Особливо це стосується пацієнтів з ІХС. Рекомендується поступове зниження дози. Порушення функції печінки і нирок У разі печінкової недостатності елімінація амлодипіну уповільнюється. Особливих рекомендацій щодо дозування амлодипіну немає, тому препарат у пацієнтів з порушенням функції печінки необхідно призначати з обережністю. У разі тяжкої печінкової недостатності добова доза бісопрололу не повинна перевищувати 10 мг. У пацієнтів з легкою або середньою нирковою недостатністю немає необхідності змінювати дозування. У разі тяжкої ниркової недостатності (кліренс креатиніну <20 мл/хв) добова доза бісопрололу не повинна перевищувати 10 мг. Пацієнтам літнього віку можна призначати звичайні дози препарату. Комбінований препарат амлодипін/бісопролол не рекомендується призначати дітям через відсутність даних щодо безпеки та ефективності застосування. Діти Алотендин не рекомендується застосовувати дітям. Бісопролол . Клінічні дані щодо ефективності і безпеки застосування препарату для лікування дітей відсутні"
Алтум (Altum),,,"у комплексній терапії таких захворювань: – захворювання серця та судинної системи: стабільна стенокардія навантаження, хронічна серцева недостатність (NYHA I-IIІ функціональний клас), кардіоміопатія, функціональні порушення діяльності серця та судинної системи; – гострі та хронічні ішемічні порушення мозкового кровообігу; – знижена працездатність, фізичне та психоемоційне перенапруження; – у період одужання після цереброваскулярних порушень, травм голови та енцефаліту. у комплексній терапії таких захворювань: – захворювання серця та судинної системи: стабільна стенокардія навантаження, хронічна серцева недостатність (NYHA I-IIІ функціональний клас), кардіоміопатія, функціональні порушення діяльності серця та судинної системи; – гострі та хронічні ішемічні порушення мозкового кровообігу; – знижена працездатність, фізичне та психоемоційне перенапруження; – у період одужання після цереброваскулярних порушень, травм голови та енцефаліту. у комплексній терапії таких захворювань: – захворювання серця та судинної системи: стабільна стенокардія навантаження, хронічна серцева недостатність (NYHA I-IIІ функціональний клас), кардіоміопатія, функціональні порушення діяльності серця та судинної системи; – гострі та хронічні ішемічні порушення мозкового кровообігу; – знижена працездатність, фізичне та психоемоційне перенапруження; – у період одужання після цереброваскулярних порушень, травм голови та енцефаліту. Застосування Алтум внутрішньовенно (в/в). Застосування препарату не передбачає спеціального приготування перед введенням. У зв’язку з можливим стимулюючим ефектом препарат рекомендується застосовувати у першій половині дня. Дорослі . Доза становить 500–1000 мг (5–10 мл) у вену, вводити за 1 раз або ділити на 2 прийоми. Тривалість лікування зазвичай становить 10–14 днів, після чого лікування продовжувати пероральною лікарською формою. Тривалість курсу лікування становить 4–6 тижнів. Курс лікування можна повторити 2–3 рази на рік. Пацієнти літнього віку . Пацієнтам літнього віку з порушеннями функції печінки та/або нирок можливе зменшення дози мельдонію. Пацієнти з порушеннями функції нирок . Оскільки препарат виводиться організмом нирками, пацієнтам із порушеннями функції нирок від легкого до середнього ступеня тяжкості слід застосовувати меншу дозу мельдонію. Пацієнти з порушеннями функції печінки . Пацієнтам із порушеннями функції печінки від легкого до середнього ступеня тяжкості слід застосовувати меншу дозу мельдонію. Діти . Відсутні дані про безпеку та ефективність застосування мельдонію дітям віком до 18 років, тому застосування мельдонію цій категорії пацієнтів протипоказане"
Амлесса (Amlessa),"Таблетки. Основні фізико-хімічні властивості: 4 мг/5 мг: білі або майже білі, круглі, трохи двоопуклі таблетки зі скошеними краями; 4 мг/10 мг: білі або майже білі, у формі капсули, двоопуклі, з насічкою з одного боку таблетки; 8 мг/5 мг: білі або майже білі, круглі, двоопуклі таблетки зі скошеними краями; 8 мг/10 мг: білі або майже білі, круглі, двоопуклі зі скошеними краями таблетки з рискою з одного боку. Таблетки. Основні фізико-хімічні властивості: 4 мг/5 мг: білі або майже білі, круглі, трохи двоопуклі таблетки зі скошеними краями; 4 мг/10 мг: білі або майже білі, у формі капсули, двоопуклі, з насічкою з одного боку таблетки; 8 мг/5 мг: білі або майже білі, круглі, двоопуклі таблетки зі скошеними краями; 8 мг/10 мг: білі або майже білі, круглі, двоопуклі зі скошеними краями таблетки з рискою з одного боку. Таблетки. Основні фізико-хімічні властивості: 4 мг/5 мг: білі або майже білі, круглі, трохи двоопуклі таблетки зі скошеними краями; 4 мг/10 мг: білі або майже білі, у формі капсули, двоопуклі, з насічкою з одного боку таблетки; 8 мг/5 мг: білі або майже білі, круглі, двоопуклі таблетки зі скошеними краями; 8 мг/10 мг: білі або майже білі, круглі, двоопуклі зі скошеними краями таблетки з рискою з одного боку. Фармакотерапевтична група Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04.","Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04. Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04. Комбіновані препарати інгібіторів ангіотензинперетворювального ферменту. Інгібітори АПФ у комбінації з антагоністами кальцію. Код АТХ C09B B04. Фармакологічні властивості Фармакодинаміка . Швидкість та ступінь всмоктування периндоприлу та амлодипіну як монопрепаратів у складі препарату Амлесса суттєво не відрізняються. Периндоприл Периндоприл є інгібітором ангіотензинперетворювального ферменту (АПФ), який перетворює АПФ. Перетворювальний фермент, або кіназа, є екзопептидазою, яка дає змогу перетворювати ангіотензин I на ангіотензин II, а також спричиняє розпад вазодилататорного агента брадикініну з утворенням неактивного гептапептиду. Гальмування активності АПФ призводить до зменшення концентрації ангіотензину II у плазмі крові, що супроводжується збільшенням активності реніну у плазмі (шляхом інгібування негативної оцінки вивільнення реніну) і зменшенням секреції альдостерону. Оскільки АПФ блокує брадикінін, гальмування активності цього ферменту призводить до збільшення активності циркулюючої та локальної калікреїн-кінінової системи і, тим самим, — до активації системи простагландинів. Такий механізм сприяє дії інгібіторів АПФ щодо зниження артеріального тиску і частково відповідає за появу деяких побічних ефектів (наприклад кашлю). Периндоприл в організмі перетворюється на активний метаболіт — периндоприлат. Інші метаболіти не демонструють гальмування активності АПФ in vitro. Амлодипін Амлодипін — антагоніст іонів кальцію, який блокує надходження іонів кальцію крізь мембрани до клітин гладких м’язів міокарда та судин. Механізм гіпотензивної дії амлодипіну зумовлений безпосереднім впливом на гладкі м’язи судин. Точний механізм дії амлодипіну при стенокардії не встановлений, але відомо, що амлодипін зменшує ішемію міокарда двома шляхами. Амлодипін розширює периферичні артеріоли і таким чином знижує загальний периферичний опір (постнавантаження), проти якого працює серце. Зниження навантаження на серце призводить до зниження споживання енергії та потреби міокарда в кисні. Механізм дії амлодипіну також, можливо, залучає розширення основних коронарних артерій та коронарних артеріол. Таке розширення збільшує постачання кисню до міокарда у пацієнтів зі стенокардією Принцметала. У пацієнтів з артеріальною гіпертензією дозування 1 раз на добу забезпечує клінічно значуще зниження артеріального тиску (як у положенні стоячи, так і лежачи) протягом усього 24-годинного інтервалу. У пацієнтів зі стенокардією прийом амлодипіну 1 раз на добу подовжує загальний активний час, час до початку стенокардії та час до депресії 1 мм сегмента ST. Амлодипін знижує частоту стенокардії та зменшує необхідність прийому таблеток нітрогліцерину. Фармакокінетика. Периндоприл Після перорального прийому периндоприл швидко всмоктується, максимальна концентрація у плазмі крові (С max ) досягається протягом 1 години. Період напіввиведення (t 1/2 ) периндоприлу з плазми крові становить 1 годину. Периндоприл являє собою проліки. 27% від прийнятої дози периндоприлу потрапляє у кровотік у вигляді активного метаболіту периндоприлату. Крім активного периндоприлату периндоприл утворює ще 5 неактивних метаболітів. С max периндоприлату у плазмі крові досягається через 3–4 години. Оскільки вживання їжі зменшує перетворення периндоприлу на периндоприлат, а отже, зменшується і його біодоступність, то периндоприлу терт-бутиламін рекомендується приймати перорально в одноразовій добовій дозі вранці перед прийомом їжі. Існує лінійний взаємозв’язок між дозою периндоприлу та його концентрацією у плазмі крові. Об’єм розподілу незв’язаного периндоприлату становить приблизно 0,2 л/кг. Зв’язування периндоприлату з білками плазми становить 20%, в основному, з АПФ, але є дозозалежним. Периндоприлат виводиться із сечею, період остаточного напіввиведення незв’язаного периндоприлату становить приблизно 17 годин. Стан рівноваги досягається через 4 доби. Виведення периндоприлату зменшується у пацієнтів літнього віку та у пацієнтів із серцевою або нирковою недостатністю. Тому необхідно регулярно проводити моніторинг рівня калію та креатиніну. Діалізний кліренс периндоприлату становить 70 мл/хв. Кінетика периндоприлу змінюється у хворих на цироз печінки: печінковий кліренс основної молекули зменшується вдвічі. Однак кількість периндоприлату, що утворюється, не зменшується. Отже, таким хворим не потрібно коригувати дозу. Амлодипін Після перорального прийому в терапевтичних дозах амлодипін добре всмоктується і досягає С max через 6–12 годин після прийому. Абсолютна біодоступність становить від 64 до 80%. Об’єм розподілу становить приблизно 21 л/кг. Вживання їжі не впливає на біодоступність амлодипіну. Дослідження in vitro показали, що приблизно 97,5% циркулюючого амлодипіну зв’язується з білками плазми крові. T 1/2 становить приблизно 35–50 годин, що дозволяє призначати препарат 1 раз на добу. Амлодипін метаболізується у печінці з утворенням неактивних метаболітів. 60% від прийнятої дози виводиться із сечею, а 10% препарату — у незміненому вигляді. Застосування пацієнтам літнього віку. Час, необхідний для досягнення С max амлодипіну, однаковий як у пацієнтів літнього віку, так і у молодших пацієнтів. У людей літнього віку спостерігається тенденція до зниження кліренсу амлодипіну, що призводить до збільшення AUC (площі під кривою «концентрація/ час») та t 1/2 . Рекомендований режим дозування для пацієнтів літнього віку є аналогічним, однак збільшення дози слід проводити з обережністю. Застосування пацієнтам із нирковою недостатністю (див. розділ «Спосіб застосування та дози»). Застосування пацієнтам із порушенням функції печінки. T 1/2 амлодипіну, як і всіх антагоністів кальцію, збільшується у пацієнтів із порушеннями функції печінки.","Артеріальна гіпертензія та/або ішемічна хвороба серця (якщо необхідне лікування периндоприлом та амлодипіном). Артеріальна гіпертензія та/або ішемічна хвороба серця (якщо необхідне лікування периндоприлом та амлодипіном). Артеріальна гіпертензія та/або ішемічна хвороба серця (якщо необхідне лікування периндоприлом та амлодипіном). Підвищена чутливість до периндоприлу (або до будь-яких інших інгібіторів АПФ), до амлодипіну (або до інших дигідропіридинів) або до будь-якої допоміжної речовини препарату; ангіоневротичний набряк в анамнезі після застосування будь-яких інгібіторів АПФ; ідіопатичний або спадковий ангіоневротичний набряк; тяжка артеріальна гіпотензія; шок, включаючи кардіогенний шок; обструкція вихідного тракту лівого шлуночка (наприклад виражений стеноз аорти); нестабільна стенокардія; серцева недостатність після гострого інфаркту міокарда (протягом перших 28 днів); другий і третій триместри вагітності ( ; одночасне застосування з препаратами, що містять діючу речовину аліскірен, пацієнтам, хворим на цукровий діабет, або пацієнтам з нирковою недостатністю (швидкість клубочкової фільтрації < 60 мл/хв/1,73 м 2 ) ( ; супутнє застосування з комбінацією сакубітрил/валсартан. Терапію периндоприлом можна починати не раніше ніж через 36 годин після останнього прийому комбінації сакубітрил/валсартан ( ; екстракорпоральні методи лікування, що призводять до контакту крові з негативно зарядженими поверхнями ( ; значний двосторонній стеноз ниркової артерії або стеноз артерії до єдиної функціонуючої нирки ("
Амлодил Босналек (Amlodil Bosnalijek ),"Капсули тверді. Основні фізико-хімічні властивості: тверді желатинові капсули, складені з корпуса та кришки. Колір капсул: білий непрозорий корпус і жовта непрозора кришка. Розмір капсул — 3. Вміст — гранули від майже білого до жовтувато-білого кольору. Капсули тверді. Основні фізико-хімічні властивості: тверді желатинові капсули, складені з корпуса та кришки. Колір капсул: білий непрозорий корпус і жовта непрозора кришка. Розмір капсул — 3. Вміст — гранули від майже білого до жовтувато-білого кольору. Капсули тверді. Основні фізико-хімічні властивості: тверді желатинові капсули, складені з корпуса та кришки. Колір капсул: білий непрозорий корпус і жовта непрозора кришка. Розмір капсул — 3. Вміст — гранули від майже білого до жовтувато-білого кольору. Фармакотерапевтична група Селективні антагоністи кальцію із переважною дією на судини. Похідні дигідропіридину. Код АТХ С08С А01.","Селективні антагоністи кальцію із переважною дією на судини. Похідні дигідропіридину. Код АТХ С08С А01. Селективні антагоністи кальцію із переважною дією на судини. Похідні дигідропіридину. Код АТХ С08С А01. Селективні антагоністи кальцію із переважною дією на судини. Похідні дигідропіридину. Код АТХ С08С А01. Фармакологічні властивості Фармакодинаміка. Амлодипін — антагоніст кальцію (похідне дигідропіридину), що блокує надходження іонів кальцію до міокарда та до клітин гладких м’язів. Механізм гіпотензивної дії амлодипіну зумовлений безпосередньою розслаблюючою дією на гладкі м’язи судин. Точний механізм антиангінального ефекту амлодипіну визначений недостатньо, однак нижчезазначені ефекти відіграють певну роль. 1. Амлодипін розширює периферичні артеріоли і, таким чином, знижує периферичний опір (постнавантаження). Оскільки серцевий ритм залишається стабільним, зниження навантаження на серце призводить до зниження споживання енергії та потреби міокарда в кисні. 2. Розширення головних коронарних артерій та коронарних артеріол (нормальних та ішемізованих), можливо, також відіграє роль у механізмі дії амлодипіну. Таке розширення підвищує насиченість міокарда киснем у пацієнтів зі спазмом коронарної артерії (стенокардія Принцметала або варіантна стенокардія). У пацієнтів з артеріальною гіпертензією застосування препарату 1 раз на добу забезпечує клінічно значуще зниження артеріального тиску протягом 24 годин у положенні як лежачи, так і стоячи. Через повільний початок дії амлодипіну гостра артеріальна гіпотензія зазвичай не спостерігається. У пацієнтів зі стенокардією при застосуванні однієї добової дози препарату підвищується загальний час фізичного навантаження, час до початку стенокардії і час до 1 мм депресії сегмента ST. Препарат знижує частоту нападів стенокардії та зменшує потребу в застосуванні нітрогліцерину. Амлодипін не асоціюється з будь-якими побічними метаболічними діями або змінами рівня ліпідів у плазмі крові і може застосовуватися пацієнтам з астмою, цукровим діабетом та подагрою. Фармакокінетика. Всмоктування/розподіл Після перорального застосування терапевтичних доз амлодипін поступово абсорбується, максимальна концентрація у плазмі крові (Сmax) досягається протягом 6–12 годин після застосування. Абсолютна біодоступність становить приблизно 64–80%. Об’єм розподілу становить приблизно 21 л/кг. Зв’язування амлодипіну з білками плазми крові становить приблизно 97,5%. Одночасне вживання їжі не впливає на всмоктування амлодипіну. Метаболізм/виведення Період напіввиведення із плазми крові становить приблизно 35–50 годин. Амлодипін головним чином метаболізується з утворенням неактивних метаболітів. Близько 60% введеної дози виводиться із сечею, приблизно 10% з якої становить амлодипін у незміненому вигляді. Пацієнти із порушеннями функції нирок Даній категорії пацієнтів слід застосовувати звичайні дози препарату. Зміни концентрації амлодипіну у плазмі крові не корелюють зі ступенем порушення функції нирок. Амлодипін не видаляється шляхом діалізу. Пацієнти із порушеннями функції печінки Інформація щодо застосування амлодипіну пацієнтам із порушеннями функції печінки дуже обмежена. У пацієнтів із печінковою недостатністю кліренс амлодипіну знижений, що призводить до збільшення тривалості періоду напіврозпаду та до збільшення площі під кривою «концентрація — час» (AUC) приблизно на 40–60%. Пацієнти літнього віку Час досягнення Сmax амлодипіну в плазмі крові подібний у пацієнтів літнього віку та в молодших пацієнтів. Кліренс амлодипіну в пацієнтів літнього віку зазвичай дещо знижений, що призводить до збільшення AUC та періоду напіввиведення (Т½) препарату.","Артеріальна гіпертензія. Хронічна стабільна стенокардія. Вазоспастична стенокардія (стенокардія Принцметала). Артеріальна гіпертензія. Хронічна стабільна стенокардія. Вазоспастична стенокардія (стенокардія Принцметала). Артеріальна гіпертензія. Хронічна стабільна стенокардія. Вазоспастична стенокардія (стенокардія Принцметала). Підвищена чутливість до дигідропіридинів, амлодипіну або до будь-якого іншого компонента препарату. Артеріальна гіпотензія тяжкого ступеня. Шок (включаючи кардіогенний шок). Обструкція вивідного тракту лівого шлуночка (наприклад, стеноз аорти тяжкого ступеня). Гемодинамічно нестабільна серцева недостатність після гострого інфаркту міокарда"
