Назва препарату,Лікарська форма,Фармакотерапевтична група,Показання_clean
Діаформін SR (Diaformin SR),,,"цукровий діабет 2 типу (інсулінонезалежний) у дорослих (особливо у хворих з надмірною масою тіла) при неефективності дієтотерапії та фізичних навантажень, як монотерапія або у комбінації з іншими пероральними протидіабетичними засобами, або сумісно з інсуліном. цукровий діабет 2 типу (інсулінонезалежний) у дорослих (особливо у хворих з надмірною масою тіла) при неефективності дієтотерапії та фізичних навантажень, як монотерапія або у комбінації з іншими пероральними протидіабетичними засобами, або сумісно з інсуліном. цукровий діабет 2 типу (інсулінонезалежний) у дорослих (особливо у хворих з надмірною масою тіла) при неефективності дієтотерапії та фізичних навантажень, як монотерапія або у комбінації з іншими пероральними протидіабетичними засобами, або сумісно з інсуліном. Застосування Діаформін SR таблетки слід ковтати цілими, не розжовуючи. Монотерапія або комбінована терапія у поєднанні з іншими пероральними гіпоглікемічними засобами . Рекомендована початкова доза – 500 мг на добу. Через 10-15 днів проведеного лікування дозу необхідно відкоригувати відповідно до результатів вимірювань рівня глюкози в сироватці крові. Повільне збільшення дози сприяє зниженню побічних ефектів з боку травного тракту. Максимальна рекомендована доза – 2000 мг на добу. Дозу препарату слід приймати 1 раз на добу під час прийому їжі ввечері, збільшуючи на 500 мг кожні 10-15 днів до 2000 мг. Якщо необхідного рівня глікемії не можна досягти при застосуванні Діаформіну SR у максимальній дозі 2000 мг, яку приймає пацієнт 1 раз на добу, цю дозу можна розділити на 2 прийоми на добу (1 раз зранку і 1 раз ввечері під час прийому їжі). Якщо необхідного рівня глікемії не досягнуто, можна застосовувати Діаформін SR у максимальній рекомендованій дозі 3000 мг на добу. Для пацієнтів, які вже лікувалися метформіном, початкова доза препарату Діаформін SR, таблеток з пролонгованим вивільненням, має бути еквівалентна добовій дозі таблеток із негайним вивільненням. Пацієнти, які отримують терапію метформіном удозі вище 2000 мг на добу, не рекомендується переходити на терапію препаратом Діаформін SR. У разі переходу на препарат Діаформін SR, таблетки з пролонгованим вивільненням, необхідно припинити прийом іншого протидіабетичного препарату для перорального застосування. Комбінована терапія сумісно з інсуліном . Для досягнення кращого контролю за рівнем глюкози в крові метформін та інсулін можна застосовувати у вигляді комбінованої терапії. Зазвичай початкова доза Діаформіну SR становить 500 мг на добу під час прийому їжі ввечері, тоді як дозу інсуліну необхідно підбирати відповідно до результатів вимірювання рівня глюкози у крові. У пацієнтів літнього віку можливе погіршення функції нирок, тому дозу метформіну необхідно підбирати на основі оцінки функції нирок, яку слід проводити регулярно ( . Пацієнти з нирковою недостатністю. Метформін можна застосовувати пацієнтам із помірною нирковою недостатністю, стадія ІІІа (кліренс креатиніну 45–59 мл/хв або ШКФ 45–59 мл/хв/1,73 м 2 ) лише у разі відсутності інших умов, що можуть підвищити ризик розвитку лактоацидозу, з наступним коригуванням дози: початкова доза становить 500 мг або 750 мг метформіну гідрохлориду 1 раз на добу. Максимальна доза становить 1000 мг на добу. Слід проводити ретельний моніторинг функції нирок (кожні 3 - 6 місяців). Якщо кліренс креатиніну або ШКФ знижується до < 45 мл/хв або 45 мл/хв/1,73 м 2 відповідно, необхідно негайно припинити застосування метформіну. Діти . Препарат не застосовувати дітям, оскільки немає клінічних даних стосовно цієї вікової групи пацієнтів"
Глимакс (Glimax ),,,"цукровий діабет II типу у дорослих, якщо рівень глюкози в плазмі крові не можна підтримувати лише дієтою, фізичними вправами та зменшенням маси тіла. цукровий діабет II типу у дорослих, якщо рівень глюкози в плазмі крові не можна підтримувати лише дієтою, фізичними вправами та зменшенням маси тіла. цукровий діабет II типу у дорослих, якщо рівень глюкози в плазмі крові не можна підтримувати лише дієтою, фізичними вправами та зменшенням маси тіла. Застосування Глимакс успішне лікування цукрового діабету залежить від дотримання хворим відповідного раціону харчування, регулярної фізичної активності, а також постійного контролю рівня глюкози в крові та сечі. Недотримання хворим дієти не може бути компенсоване прийомом таблеток або інсуліну. Дозування залежить від результатів аналізів вмісту глюкози в плазмі крові та сечі. Монотерапія. Початкова доза становить 1 мг (½ таблетки по 2 мг) глімепіриду на добу. Якщо така доза дає змогу досягти контролю захворювання, її слід застосовувати для підтримувальної терапії. Якщо глікемічний контроль не є оптимальним, дозу слід підвищувати до 2 або 3, або 4 мг глімепіриду на добу поетапно (з інтервалами в 1–2 тиж). Доза >4 мг/добу дає кращі результати тільки в окремих випадках. Максимальна рекомендована доза ― 6 мг препарату Глимакс на добу. Комбінація з метформіном . Якщо максимальна добова доза метформіну не забезпечує достатнього глікемічного контролю, можна розпочати додаткову терапію пацієнта глімепіридом. Не змінюючи попереднього дозування метформіну, прийом глімепіриду слід розпочати з низької дози, яку потім можна поступово підвищувати до максимальної добової дози, орієнтуючись на бажаний рівень метаболічного контролю. Комбіновану терапію необхідно проводити під пильним наглядом лікаря . Комбінація з інсуліном . Якщо максимальна добова доза препарату Глимакс не забезпечує достатнього глікемічного контролю, в разі необхідності можна розпочати додаткову терапію інсуліном. Не змінюючи попереднього дозування глімепіриду, лікування інсуліном слід розпочати з низької дози, яку потім можна підвищувати, орієнтуючись на бажаний рівень метаболічного контролю. Комбіновану терапію слід проводити під пильним наглядом лікаря. Зазвичай 1 доза глімепіриду на добу є достатньою. Її рекомендується приймати незадовго до або під час ситного сніданку, або, якщо сніданку немає, незадовго перед або під час першого основного прийому їжі. Помилки в застосуванні препарату, наприклад пропуск прийому чергової дози, ніколи не можна виправляти шляхом наступного прийому вищої дози. Таблетку слід ковтати не розжовуючи, запиваючи рідиною. Якщо у хворого виявлена гіпоглікемічна реакція на прийом глімепіриду в дозі 1 мг/добу, це означає, що цукровий діабет може бути контрольований тільки за допомогою дотримання дієти. Поліпшення контролю цукрового діабету супроводжується підвищенням чутливості до інсуліну, тому під час курсу лікування потреба в глімепіриді може зменшуватися. З метою уникнення гіпоглікемії слід поступово знижувати дозу або взагалі перервати терапію. Необхідність у перегляді режиму дозування також може виникнути, якщо у хворого змінюються маса тіла чи спосіб життя або діють інші чинники, які підвищують ризик гіпо- або гіперглікемії. Перехід з пероральних гіпоглікемічних засобів на препарат Глимакс. Зазвичай можна перевести з інших пероральних гіпоглікемічних засобів на Глимакс. Під час такого переходу слід враховувати ефективність та T ½ попереднього засобу. У деяких випадках, особливо якщо протидіабетичний препарат має тривалий T ½ (наприклад хлорпропамід), перед початком застосування препарату Глимакс рекомендується почекати декілька днів. Це дозволить знизити ризик гіпоглікемічних реакцій внаслідок адитивної дії двох лікарських засобів. Рекомендована початкова доза ˗1 мг глімепіриду на добу. Як зазначалося вище, доза може бути поетапно підвищена з урахуванням реакції на препарат. Перехід з інсуліну на препарат Глимакс. У виняткових випадках хворим на цукровий діабет II типу, які приймають інсулін, може бути показана заміна його на Глимакс. Такий перехід слід проводити під пильним наглядом лікаря. Діти . Існуючих даних стосовно безпеки та ефективності препарату у дітей недостатньо, тому його не рекомендується застосовувати у цієї категорії пацієнтів"
Інсуфор (Insufor),"Таблетки, вкриті плівковою оболонкою. Основні фізико-хімічні властивості: таблетки, вкриті плівковою оболонкою, по 500 мг, 850 мг : білі круглі, двоопуклі таблетки, вкриті плівковою оболонкою; таблетки, вкриті плівковою оболонкою, по 1000 мг : білі овальні, двоопуклі таблетки, вкриті плівковою оболонкою, з розподільчою рискою з обох боків. Таблетки, вкриті плівковою оболонкою. Основні фізико-хімічні властивості: таблетки, вкриті плівковою оболонкою, по 500 мг, 850 мг : білі круглі, двоопуклі таблетки, вкриті плівковою оболонкою; таблетки, вкриті плівковою оболонкою, по 1000 мг : білі овальні, двоопуклі таблетки, вкриті плівковою оболонкою, з розподільчою рискою з обох боків. Таблетки, вкриті плівковою оболонкою. Основні фізико-хімічні властивості: таблетки, вкриті плівковою оболонкою, по 500 мг, 850 мг : білі круглі, двоопуклі таблетки, вкриті плівковою оболонкою; таблетки, вкриті плівковою оболонкою, по 1000 мг : білі овальні, двоопуклі таблетки, вкриті плівковою оболонкою, з розподільчою рискою з обох боків. Фармакотерапевтична група Засоби, що впливають на травну систему і метаболізм. Антидіабетичні препарати. Пероральні гіпоглікемічні засоби, за винятком інсулінів. Бігуаніди. Код АТХ А10В А02.","Засоби, що впливають на травну систему і метаболізм. Антидіабетичні препарати. Пероральні гіпоглікемічні засоби, за винятком інсулінів. Бігуаніди. Код АТХ А10В А02. Засоби, що впливають на травну систему і метаболізм. Антидіабетичні препарати. Пероральні гіпоглікемічні засоби, за винятком інсулінів. Бігуаніди. Код АТХ А10В А02. Засоби, що впливають на травну систему і метаболізм. Антидіабетичні препарати. Пероральні гіпоглікемічні засоби, за винятком інсулінів. Бігуаніди. Код АТХ А10В А02. Фармакологічні властивості Фармакодинаміка. Механізм дії Метформін є бігуанідом з антигіперглікемічним ефектом, як на гіперглікемію натще, так і після прийому їжі. Не стимулює секрецію інсуліну і не спричиняє гіпоглікемічного ефекту. Метформін знижує гіперінсулінемію натще, а в комбінації з інсуліном знижує потребу в інсуліні. Метформін чинить антигіперлікемічний ефект за допомогою кількох механізмів: метформін знижує продукування глюкози у печінці, метформін полегшує периферичне захоплення та утилізацію глюкози, частково за рахунок посилення дії інсуліну; метформін змінює обмін глюкози в кишківнику: поглинання з кровообігу збільшується, а всмоктування з їжі знижується. Додаткові механізми, пов’язані з кишківником, включають збільшення вивільнення глюкагоноподібного пептиду 1 (ГПП-1) і зниження резорбції жовчних кислот. Метформін змінює мікробіом кишечника; метформін може покращити ліпідний профіль у пацієнтів з гіперліпідемією. У ході клінічних досліджень під час застосування метформіну маса тіла пацієнтів залишалася стабільною або помірно знижувалася. Метформін є активатором аденозинмонофосфатпротеїнкінази (AMPK) і підвищує транспортну здатність усіх типів мембранних переносників глюкози (GLUT). Фармакокінетика. Всмоктування Після перорального прийому метформіну час досягнення максимальної концентрації (С max ) становить близько 2,5 години (Т max ). Абсолютна біодоступність метформіну у формі таблеток 500 мг або 800 мг становить приблизно 50–60% у здорових добровольців. Після перорального застосування фракція, що не всмокталася та виводиться з калом, становить 20–30%. Після перорального застосування абсорбція метформіну є насичуваною і неповною. Передбачається, що поглинання метформіну є нелінійним. При застосуванні метформіну в рекомендованих дозах і режимах дозування стабільна концентрація у плазмі крові досягається протягом 24–48 годин і становить менше 1 мкг/мл. У контрольованих клінічних дослідженнях максимальні рівні метформіну у плазмі крові (С mах ) не перевищували 5 мкг/мл навіть при застосуванні максимальних доз. При одночасному прийомі їжі абсорбція метформіну знижується і дещо уповільнюється. Після перорального застосування у дозі 850 мг спостерігалося зниження максимальної концентрації у плазмі крові на 40%, зменшення AUC — на 25% і збільшення на 35 хвилин часу досягнення максимальної концентрації у плазмі крові. Клінічна значущість цих змін невідома. Розподіл Зв’язування з білками плазми крові незначне. Метформін проникає в еритроцити. Максимальна концентрація у крові нижча, ніж максимальна концентрація у плазмі крові, тоді як час досягнення приблизно однаковий. Еритроцити, найімовірніше, являють собою вторинний компартмент розподілу метформіну. Середній об’єм розподілу (Vd) коливається у діапазоні 63–276 л. Метаболізм Метформін виводиться у незміненому вигляді із сечею. Метаболітів у людини не виявлено. Виведення Нирковий кліренс метформіну становить >400 мл/хв. Це вказує на те, що метформін виводиться за рахунок клубочкової фільтрації та канальцевої секреції. Після перорального прийому період напіввиведення становить приблизно 6,5 години. При порушеній функції нирок нирковий кліренс знижується пропорційно до кліренсу креатиніну, тому період напіввиведення збільшується, що призводить до збільшення рівня метформіну у плазмі крові. Особливі групи пацієнтів. Ниркова недостатність. Наявні обмежені дані щодо пацієнтів із помірним ступенем ниркової недостатності, тому неможливо точно оцінити системну експозицію метформіну в цій групі пацієнтів порівняно з пацієнтами з нормальною функцією нирок. Тому необхідне коригування дози згідно з клінічною ефективністю/переносимістю (див. розділ «Спосіб застосування та дози»).","Цукровий діабет 2 типу при неефективності дієтотерапії та режиму фізичних навантажень, особливо у хворих з надлишковою масою тіла: як монотерапія або у складі комбінованої терапії з іншими пероральними гіпоглікемічними засобами чи з інсуліном для лікування дорослих; як монотерапія або у складі комбінованої терапії з інсуліном для лікування дітей віком від 10 років та підлітків. Для зменшення ускладнень цукрового діабету у дорослих пацієнтів з цукровим діабетом 2 типу і надлишковою масою тіла як препарат першої лінії після неефективної дієтотерапії. Цукровий діабет 2 типу при неефективності дієтотерапії та режиму фізичних навантажень, особливо у хворих з надлишковою масою тіла: як монотерапія або у складі комбінованої терапії з іншими пероральними гіпоглікемічними засобами чи з інсуліном для лікування дорослих; як монотерапія або у складі комбінованої терапії з інсуліном для лікування дітей віком від 10 років та підлітків. Для зменшення ускладнень цукрового діабету у дорослих пацієнтів з цукровим діабетом 2 типу і надлишковою масою тіла як препарат першої лінії після неефективної дієтотерапії. Цукровий діабет 2 типу при неефективності дієтотерапії та режиму фізичних навантажень, особливо у хворих з надлишковою масою тіла: як монотерапія або у складі комбінованої терапії з іншими пероральними гіпоглікемічними засобами чи з інсуліном для лікування дорослих; як монотерапія або у складі комбінованої терапії з інсуліном для лікування дітей віком від 10 років та підлітків. Для зменшення ускладнень цукрового діабету у дорослих пацієнтів з цукровим діабетом 2 типу і надлишковою масою тіла як препарат першої лінії після неефективної дієтотерапії. Підвищена чутливість до діючої речовини або до будь-якої з допоміжних речовин лікарського засобу. Будь-який тип гострого метаболічного ацидозу (наприклад, лактоацидоз, діабетичний кетоацидоз). Діабетична прекома. Ниркова недостатність тяжкого ступеня (швидкість клубочкової фільтрації (ШКФ) <30 мл/хв). Гострі стани, що протікають із ризиком розвитку порушень функції нирок, зневоднення організму, тяжкі інфекційні захворювання, шок. Захворювання, що можуть призводити до розвитку гіпоксії тканин (особливо гострі захворювання або загострення хронічної хвороби): декомпенсована серцева недостатність, дихальна недостатність, нещодавно перенесений інфаркт міокарда, шок. Печінкова недостатність, гостре отруєння алкоголем, алкоголізм"
Діаформін (Diaformin),,,"цукровий діабет 2 типу при неефективності дієтотерапії та режиму фізичних навантажень, особливо у хворих із надлишковою масою тіла; – як монотерапія або комбінована терапія сумісно з іншими пероральними гіпоглікемічними засобами, або сумісно з інсуліном для лікування дорослих; – як монотерапія або комбінована терапія з інсуліном для лікування дітей віком від 10 років та підлітків. Для зменшення ускладнень діабету у дорослих пацієнтів із цукровим діабетом 2 типу і надлишковою масою тіла як препарат першої лінії після неефективної дієтотерапії. цукровий діабет 2 типу при неефективності дієтотерапії та режиму фізичних навантажень, особливо у хворих із надлишковою масою тіла; – як монотерапія або комбінована терапія сумісно з іншими пероральними гіпоглікемічними засобами, або сумісно з інсуліном для лікування дорослих; – як монотерапія або комбінована терапія з інсуліном для лікування дітей віком від 10 років та підлітків. Для зменшення ускладнень діабету у дорослих пацієнтів із цукровим діабетом 2 типу і надлишковою масою тіла як препарат першої лінії після неефективної дієтотерапії. цукровий діабет 2 типу при неефективності дієтотерапії та режиму фізичних навантажень, особливо у хворих із надлишковою масою тіла; – як монотерапія або комбінована терапія сумісно з іншими пероральними гіпоглікемічними засобами, або сумісно з інсуліном для лікування дорослих; – як монотерапія або комбінована терапія з інсуліном для лікування дітей віком від 10 років та підлітків. Для зменшення ускладнень діабету у дорослих пацієнтів із цукровим діабетом 2 типу і надлишковою масою тіла як препарат першої лінії після неефективної дієтотерапії. Застосування Діаформін Дорослі . Монотерапія або комбінована терапія сумісно з іншими пероральними гіпоглікемічними засобами . Зазвичай початкова доза становить 500 мг або 850 мг 2–3 рази на добу під час або після прийому їжі. Через 10–15 днів проведеного лікування дозу необхідно відкоригувати відповідно до результатів вимірювань рівня глюкози в сироватці крові. Повільне збільшення дози сприяє зниженню побічних ефектів з боку травного тракту. Максимальна рекомендована доза становить 3000 мг на добу за 3 прийоми. При лікуванні високими дозами застосовують Діаформін, таблетки, вкриті плівковою оболонкою, по 1000 мг. У разі переходу на лікування препаратом Діаформін необхідно припинити прийом іншого протидіабетичного засобу. Комбінована терапія сумісно з інсуліном . Для досягнення кращого контролю рівня глюкози в крові метформін та інсулін можна застосовувати у вигляді комбінованої терапії. Зазвичай початкова доза становить 500 мг або 850 мг препарату Діаформін 2–3 рази на добу, тоді як дозу інсуліну підбирають відповідно до результатів вимірювання рівня глюкози в крові. Діти . Монотерапія або комбінована терапія сумісно з інсуліном . Препарат Діаформін застосовувати дітям віком від 10 років та підліткам. Зазвичай початкова доза складає 500 мг або 850 мг препарату Діаформін 1 раз на добу під час або після прийому їжі. Через 10–15 днів проведеного лікування дозу необхідно відкоригувати відповідно до результатів вимірювань рівня глюкози в сироватці крові. Повільне збільшення дози сприяє зниженню побічних ефектів з боку травного тракту. Максимальна рекомендована доза становить 2000 мг на добу за 2–3 прийоми. У пацієнтів літнього віку можливе погіршення функції нирок, тому дозу метформіну необхідно підбирати на основі оцінки функції нирок, яку необхідно проводити регулярно ( . Пацієнти з нирковою недостатністю. Діаформін можна застосовувати пацієнтам із помірною нирковою недостатністю, стадія ІІІа (кліренс креатиніну 45–59 мл/хв або ШКФ 45–59 мл/хв/1,73 м 2 ), лише у разі відсутності інших умов, що можуть підвищити ризик розвитку лактоацидозу, та з подальшим коригуванням дози: початкова доза становить 500 мг або 850 мг метформіну гідрохлориду 1 раз на добу. Максимальна доза становить 1000 мг на добу та має бути розділена на 2 прийоми. Слід проводити ретельний моніторинг функції нирок (кожні 3–6 місяців). Якщо кліренс креатиніну або ШКФ знижується до <45 мл/хв або 45 мл/хв/1,73 м 2 відповідно, необхідно негайно припинити застосування метформіну. Діти . Препарат Діаформін можна застосовувати дітям віком від 10 років"
Новонорм (Novonorm ),"Таблетки. Основні фізико-хімічні властивості: таблетки по 1 мг: жовтого кольору, круглі, двоопуклі, один бік марковано символом компанії Ново Нордіск; таблетки по 2 мг: коричнювато-рожевого кольору, круглі, двоопуклі, один бік марковано символом компанії Ново Нордіск. Таблетки. Основні фізико-хімічні властивості: таблетки по 1 мг: жовтого кольору, круглі, двоопуклі, один бік марковано символом компанії Ново Нордіск; таблетки по 2 мг: коричнювато-рожевого кольору, круглі, двоопуклі, один бік марковано символом компанії Ново Нордіск. Таблетки. Основні фізико-хімічні властивості: таблетки по 1 мг: жовтого кольору, круглі, двоопуклі, один бік марковано символом компанії Ново Нордіск; таблетки по 2 мг: коричнювато-рожевого кольору, круглі, двоопуклі, один бік марковано символом компанії Ново Нордіск. Фармакотерапевтична група Антидіабетичні препарати. Інші гіпоглікемізуючі препарати, за винятком інсулінів. Код АТХ А10В Х02.","Антидіабетичні препарати. Інші гіпоглікемізуючі препарати, за винятком інсулінів. Код АТХ А10В Х02. Антидіабетичні препарати. Інші гіпоглікемізуючі препарати, за винятком інсулінів. Код АТХ А10В Х02. Антидіабетичні препарати. Інші гіпоглікемізуючі препарати, за винятком інсулінів. Код АТХ А10В Х02. Фармакологічні властивості Фармакодинаміка. Mеханізм дії Репаглінід — швидкодіючий пероральний стимулятор секреції інсуліну. Репаглінід швидко знижує рівень глюкози в крові, стимулюючи секрецію інсуліну підшлунковою залозою, причому ефект препарату залежить від кількості функціонуючих b-клітин в острівцях залози. Репаглінід закриває АТФ-залежні калієві канали у мембрані b-клітин спеціальним білком, відмінним від інших стимуляторів секреції інсуліну. Це спричиняє деполяризацію b-клітин і призводить до відкриття кальцієвих каналів, що збільшує вхід у клітину іонів кальцію, які стимулюють секрецію інсуліну. Ефекти, пов’язані з фармакодинамікою препарату У хворих на цукровий діабет 2 типу підвищення концентрації інсуліну в крові відбувається протягом 30 хвилин після прийому всередину репаглініду. Це знижує рівень глюкози в крові протягом усього періоду засвоєння прийнятої їжі. Підвищений рівень інсуліну зберігається тільки протягом харчового навантаження. Концентрація репаглініду у плазмі крові швидко знижується, його низький рівень відзначається у хворих на цукровий діабет 2 типу протягом 4 годин після його прийому. Клінічна ефективність та безпека Після прийому від 0,5 до 4 мг репаглініду хворими на цукровий діабет 2 типу було показано дозозалежне зниження рівня глюкози. На підставі результатів клінічних досліджень рекомендується приймати репаглінід під час основних прийомів їжі (препрандіальний прийом). Препарат зазвичай слід приймати за 15 хвилин до їди, однак час прийому може варіювати від прийому безпосередньо перед їдою до 30 хвилин перед їдою. В одному епідеміологічному дослідженні було висловлено припущення щодо збільшення ризику гострого коронарного синдрому в пацієнтів, які приймали репаглінід, в порівнянні з пацієнтами, які приймали препарати сульфонілсечовини (дивіться розділи «Особливості застосування» та «Побічні реакції»). Фармакокінетика. Абсорбція Репаглінід швидко всмоктується зі шлунково-кишкового тракту, що призводить до швидкого підвищення концентрації препарату у плазмі крові. Пік концентрації препарату у плазмі крові настає через 1 годину після прийому. Після досягнення піка концентрація препарату у плазмі крові швидко знижується. Фармакокінетика репаглініду характеризується середньою абсолютною біодоступністю 63% (коефіцієнт варіації 11%). Прийом репаглініду безпосередньо перед їдою, за 15 хвилин або 30 хвилин до їди або натще істотно не впливає на його фармакокінетику. У ході клінічних досліджень була відзначена висока (60%) варіабельність концентрації репаглініду у плазмі крові різних хворих; в одного і того ж хворого її рівень коливається від низького до помірного (35%). Оскільки підбір дози репаглініду ґрунтується на клінічній реакції хворого, висока варіабельність у різних хворих не впливає на ефективність препарату. Розподіл Фармакокінетика репаглініду характеризується низьким об’ємом розподілу − 30 л (що відповідає розподілу у внутрішньоклітинній рідині), pепаглінід легко зв’язується (понад 98%) з білками плазми крові людини. Елімінація Pепаглінід швидко елімінується із крові протягом 4−6 годин. Час напіввиведення становить приблизно 1 годину. Репаглінід майже повністю метаболізується. Його метаболіти не спричиняють клінічно значущого цукрознижувального ефекту. Репаглінід і його метаболіти виділяються в основному з жовчю. Невелика фракція (менше 8%) введеної дози виявлена в сечі у вигляді метаболітів. Менше 1% прийнятої дози виявлено у калі. Особливі групи пацієнтів Вплив репаглініду збільшується у хворих з печінковою недостатністю і у хворих на цукровий діабет 2 типу літнього віку. AUC (середня похибка) після одноразового прийому дози 2 мг (4 мг для пацієнтів з печінковою недостатністю) становив 31,4 нг/мл/год (28,3) у здорових добровольців, 304,9 нг/мл/год (228,0) у хворих з печінковою недостатністю та 117,9 нг/мл/год (83,8) у хворих на цукровий діабет 2 типу літнього віку. Після 5 днів лікування репаглінідом (2 мг 3 рази на добу) у хворих з тяжкою нирковою недостатністю (кліренс креатиніну 20−39 мл/хв) результати показали статистично значуще двократне збільшення експозиції (AUC) і періоду напіввиведення (t½) порівняно з пацієнтами з нормальною функцією нирок.","Цукровий діабет 2 типу (інсулінонезалежний цукровий діабет), коли за допомогою дієти, зниження маси тіла і фізичних навантажень не вдається досягти задовільного контролю за рівнем глюкози в крові. Застосування репаглініду у комбінації з метформіном також показано хворим на цукровий діабет 2 типу, в яких не вдається досягти задовільного контролю за глікемією прийомом метформіну окремо. Лікування слід розпочинати як доповнення до дієти або фізичних навантажень, щоб зменшити зумовлений прийомами їжі рівень глюкози в крові. Цукровий діабет 2 типу (інсулінонезалежний цукровий діабет), коли за допомогою дієти, зниження маси тіла і фізичних навантажень не вдається досягти задовільного контролю за рівнем глюкози в крові. Застосування репаглініду у комбінації з метформіном також показано хворим на цукровий діабет 2 типу, в яких не вдається досягти задовільного контролю за глікемією прийомом метформіну окремо. Лікування слід розпочинати як доповнення до дієти або фізичних навантажень, щоб зменшити зумовлений прийомами їжі рівень глюкози в крові. Цукровий діабет 2 типу (інсулінонезалежний цукровий діабет), коли за допомогою дієти, зниження маси тіла і фізичних навантажень не вдається досягти задовільного контролю за рівнем глюкози в крові. Застосування репаглініду у комбінації з метформіном також показано хворим на цукровий діабет 2 типу, в яких не вдається досягти задовільного контролю за глікемією прийомом метформіну окремо. Лікування слід розпочинати як доповнення до дієти або фізичних навантажень, щоб зменшити зумовлений прийомами їжі рівень глюкози в крові. Гіперчутливість до репаглініду або до будь-якого компонента препарату НовоНорм . Цукровий діабет 1 типу (інсулінозалежний цукровий діабет), С-пептид-негативний діабет. Діабетичний кетоацидоз з наявністю або відсутністю коматозного стану. Період вагітності або годування груддю. Тяжкі порушення функції печінки. Сумісне застосування з гемфіброзилом ("
